light_id,location,status,wattage,installation_date,last_maintenance,neighborhood_id
SL-0115,POINT (77.54134833711299 12.819690424052352),operational,250,2022-09-26,2025-03-24 12:00:00,NH-002
SL-0116,POINT (77.54995344007646 12.82311244154798),maintenance_required,100,2017-02-17,2019-04-04 12:00:00,NH-002
SL-0117,POINT (77.5370418327213 12.814041841240847),operational,100,2018-12-14,2019-03-02 12:00:00,NH-002
SL-0118,POINT (77.54721844780775 12.821562281443006),operational,150,2021-04-27,2022-09-03 12:00:00,NH-002
SL-0119,POINT (77.54778366425501 12.821475497801474),operational,150,2020-07-11,2026-02-19 12:00:00,NH-002
SL-0120,POINT (77.53704746115714 12.816039437754698),operational,200,2024-07-25,2024-12-06 12:00:00,NH-002
SL-0121,POINT (77.54471526958018 12.820666130936882),operational,250,2021-10-30,2025-08-12 12:00:00,NH-002
SL-0122,POINT (77.54466998390271 12.816336323908649),operational,150,2020-10-16,2024-04-02 12:00:00,NH-002
SL-0123,POINT (77.55001107741869 12.81704255543715),operational,150,2019-07-06,2020-11-29 12:00:00,NH-002
SL-0124,POINT (77.54644613237544 12.816885483128106),operational,100,2016-06-01,2017-10-02 12:00:00,NH-002
SL-0125,POINT (77.54002574671367 12.815642962708665),operational,250,2024-05-19,2026-01-31 12:00:00,NH-002
SL-0126,POINT (77.54577283225831 12.817874570588552),operational,100,2024-09-20,2024-10-27 12:00:00,NH-002
SL-0127,POINT (77.53935062041379 12.815875799608468),maintenance_required,150,2022-11-11,2024-01-30 12:00:00,NH-002
SL-0128,POINT (77.55027039494787 12.822703169694718),operational,200,2024-05-18,2024-08-10 12:00:00,NH-002
SL-0129,POINT (77.54409170270844 12.819821696775655),operational,150,2017-03-22,2019-08-05 12:00:00,NH-002
SL-0130,POINT (77.54842672311818 12.816815608444672),operational,100,2018-06-18,2018-11-15 12:00:00,NH-002
SL-0131,POINT (77.54524047556818 12.818454962261304),operational,250,2024-07-08,2025-05-21 12:00:00,NH-002
SL-0132,POINT (77.55018738084024 12.826877618821626),operational,250,2024-04-16,2025-08-26 12:00:00,NH-002
SL-0133,POINT (77.54114867946635 12.815691255995091),operational,200,2017-04-08,2019-03-24 12:00:00,NH-002
SL-0134,POINT (77.53729857700655 12.814757664314007),operational,250,2017-03-23,2025-11-06 12:00:00,NH-002
SL-0135,POINT (77.53756646991165 12.81760707061227),operational,200,2023-10-23,2026-01-01 12:00:00,NH-002
SL-0136,POINT (77.55036837739542 12.823174050234119),operational,100,2019-07-24,2023-06-23 12:00:00,NH-002
SL-0137,POINT (77.54991321559325 12.816981803683081),operational,150,2025-02-28,2025-08-19 12:00:00,NH-002
SL-0138,POINT (77.54324668988582 12.817571240327627),operational,150,2021-04-24,2021-11-07 12:00:00,NH-002
SL-0139,POINT (77.54017039084685 12.819691848251876),operational,100,2022-04-01,2023-08-23 12:00:00,NH-002
SL-0140,POINT (77.53992604590171 12.816337138851202),operational,250,2020-10-05,2025-04-28 12:00:00,NH-002
SL-0141,POINT (77.5441681157282 12.820334577110872),operational,150,2016-11-13,2018-08-31 12:00:00,NH-002
SL-0142,POINT (77.53970875703185 12.816209226548095),operational,200,2016-11-19,2024-05-17 12:00:00,NH-002
SL-0143,POINT (77.53684238036637 12.814397993048152),operational,200,2022-04-24,2022-06-27 12:00:00,NH-002
SL-0144,POINT (77.54612419353926 12.82108675125255),operational,250,2020-11-20,2021-03-21 12:00:00,NH-002
SL-0145,POINT (77.549211655116 12.820389124395728),operational,100,2020-06-14,2025-08-31 12:00:00,NH-002
SL-0146,POINT (77.53808772586224 12.815065303569101),operational,250,2024-08-08,2025-07-29 12:00:00,NH-002
SL-0147,POINT (77.54300752762126 12.81918177439476),operational,200,2019-10-01,2025-11-20 12:00:00,NH-002
SL-0148,POINT (77.54475553813276 12.81757507873573),operational,100,2024-05-20,2024-07-18 12:00:00,NH-002
SL-0149,POINT (77.53710334359705 12.816010433708259),operational,150,2019-10-02,2024-12-28 12:00:00,NH-002
SL-0150,POINT (77.54904230742396 12.81571150002057),operational,250,2022-04-21,2024-12-02 12:00:00,NH-002
SL-0151,POINT (77.54933162163829 12.823580521730719),operational,250,2018-04-15,2023-02-22 12:00:00,NH-002
SL-0152,POINT (77.54208386165742 12.815764953603281),operational,150,2020-05-04,2020-07-04 12:00:00,NH-002
SL-0153,POINT (77.54880372206217 12.817373842177291),operational,200,2022-03-31,2024-09-29 12:00:00,NH-002
SL-0154,POINT (77.53491549270693 12.812042902848468),operational,250,2021-09-18,2023-07-22 12:00:00,NH-002
SL-0155,POINT (77.54875049769576 12.819774964440795),operational,200,2020-11-04,2025-07-16 12:00:00,NH-002
SL-0156,POINT (77.54866660820845 12.81798584170959),operational,150,2018-05-07,2024-09-18 12:00:00,NH-002
SL-0157,POINT (77.53565912562536 12.81688421888764),maintenance_required,250,2016-11-23,2020-07-27 12:00:00,NH-002
SL-0158,POINT (77.5485594916495 12.81566682805057),operational,200,2017-09-08,2023-10-12 12:00:00,NH-002
SL-0159,POINT (77.54915736611132 12.817852211284936),operational,100,2022-02-13,2024-06-15 12:00:00,NH-002
SL-0160,POINT (77.56725700518487 12.821267785158648),operational,250,2021-07-15,2024-05-12 12:00:00,NH-003
SL-0161,POINT (77.56533421461384 12.831303149716526),operational,200,2020-03-12,2021-09-04 12:00:00,NH-003
SL-0162,POINT (77.56672505206863 12.821715037139017),operational,150,2022-01-18,2022-05-27 12:00:00,NH-003
SL-0163,POINT (77.56817297625786 12.83364792633986),operational,250,2024-07-30,2025-10-02 12:00:00,NH-003
SL-0164,POINT (77.56456476997485 12.822121749027437),operational,250,2019-07-22,2021-03-20 12:00:00,NH-003
SL-0165,POINT (77.56844247649254 12.816559649471191),operational,150,2022-05-04,2024-02-26 12:00:00,NH-003
SL-0166,POINT (77.5664300576572 12.822540575250196),operational,200,2016-05-16,2019-12-05 12:00:00,NH-003
SL-0167,POINT (77.56459707772028 12.822244641111906),operational,250,2025-02-06,2025-07-03 12:00:00,NH-003
SL-0168,POINT (77.56562973170223 12.82296607465872),operational,150,2016-11-16,2017-10-21 12:00:00,NH-003
SL-0169,POINT (77.56807177429562 12.816391807721212),operational,100,2018-04-07,2018-11-28 12:00:00,NH-003
SL-0170,POINT (77.56831536605361 12.81635589858251),operational,100,2020-10-20,2023-09-08 12:00:00,NH-003
SL-0171,POINT (77.56664313132879 12.828901157584909),operational,150,2021-01-19,2025-07-29 12:00:00,NH-003
SL-0172,POINT (77.56821273581517 12.832860724689422),operational,250,2020-06-11,2025-06-18 12:00:00,NH-003
SL-0173,POINT (77.56562608817572 12.831736046784567),operational,200,2019-09-19,2025-12-01 12:00:00,NH-003
SL-0174,POINT (77.56760370071372 12.831371058471161),operational,200,2022-06-28,2024-10-17 12:00:00,NH-003
SL-0175,POINT (77.56590775443888 12.824264593724262),operational,250,2017-05-04,2024-04-23 12:00:00,NH-003
SL-0176,POINT (77.56802179644477 12.832309054938909),operational,150,2021-06-27,2023-03-06 12:00:00,NH-003
SL-0177,POINT (77.56600758049944 12.830823639294982),operational,100,2024-12-17,2026-01-21 12:00:00,NH-003
SL-0178,POINT (77.56624686818546 12.824288103368355),operational,200,2020-03-06,2025-12-25 12:00:00,NH-003
SL-0179,POINT (77.568517114803 12.816605877853545),operational,200,2022-06-10,2023-06-08 12:00:00,NH-003
SL-0180,POINT (77.56632124842444 12.83114741937462),operational,250,2019-04-26,2021-01-13 12:00:00,NH-003
SL-0181,POINT (77.566127205132 12.830102331952514),operational,100,2017-09-15,2020-01-26 12:00:00,NH-003
SL-0182,POINT (77.56603732978698 12.831317136475237),operational,100,2022-03-19,2024-06-07 12:00:00,NH-003
SL-0183,POINT (77.56708422594913 12.818160645257898),operational,250,2018-01-16,2025-11-28 12:00:00,NH-003
SL-0184,POINT (77.56484693098945 12.822498455363672),operational,200,2024-01-13,2025-08-09 12:00:00,NH-003
SL-0185,POINT (77.56661180633618 12.819739686565148),operational,150,2024-10-31,2025-08-28 12:00:00,NH-003
SL-0186,POINT (77.56769850871771 12.819644790132148),operational,150,2022-05-05,2024-02-13 12:00:00,NH-003
SL-0187,POINT (77.56700901381143 12.82163518250394),operational,150,2020-09-18,2022-06-02 12:00:00,NH-003
SL-0188,POINT (77.56713087205759 12.822080633680775),maintenance_required,250,2017-12-19,2019-04-28 12:00:00,NH-003
SL-0189,POINT (77.56673740788962 12.82286722570561),operational,200,2021-08-08,2022-09-09 12:00:00,NH-003
SL-0190,POINT (77.56826207361267 12.817502883512647),operational,250,2020-08-28,2021-07-17 12:00:00,NH-003
SL-0191,POINT (77.56580670134706 12.831436958025671),maintenance_required,150,2023-08-07,2025-09-17 12:00:00,NH-003
SL-0192,POINT (77.56610896405478 12.825421293508374),maintenance_required,200,2018-07-31,2018-10-07 12:00:00,NH-003
SL-0193,POINT (77.56746440488192 12.817018228750449),operational,100,2017-06-14,2019-01-02 12:00:00,NH-003
SL-0194,POINT (77.56596714353064 12.83198864814129),operational,200,2022-12-05,2023-02-12 12:00:00,NH-003
SL-0195,POINT (77.56781486731747 12.816078204723151),operational,150,2020-08-23,2023-08-06 12:00:00,NH-003
SL-0196,POINT (77.56566347561788 12.822147022172713),operational,100,2024-10-15,2025-05-08 12:00:00,NH-003
SL-0197,POINT (77.56771974703912 12.833497174110008),operational,150,2022-12-02,2025-09-06 12:00:00,NH-003
SL-0198,POINT (77.5675346738302 12.8318109036083),operational,250,2017-04-29,2023-10-11 12:00:00,NH-003
SL-0199,POINT (77.56557085171059 12.821376288624595),operational,150,2024-06-10,2025-08-25 12:00:00,NH-003
SL-0200,POINT (77.56712864272696 12.833248206688252),operational,250,2018-09-05,2019-01-28 12:00:00,NH-003
SL-0201,POINT (77.5671909854539 12.830288377939377),operational,200,2025-02-24,2025-02-26 12:00:00,NH-003
SL-0202,POINT (77.56674896564466 12.830434570288697),operational,150,2025-01-12,2025-07-06 12:00:00,NH-003
SL-0203,POINT (77.56602326278954 12.819777794308088),operational,100,2022-06-28,2025-03-26 12:00:00,NH-003
SL-0204,POINT (77.56707864871126 12.830223102079517),operational,200,2020-11-19,2023-06-02 12:00:00,NH-003
SL-0205,POINT (77.56671255372225 12.832368242162673),operational,200,2020-01-06,2023-02-20 12:00:00,NH-003
SL-0206,POINT (77.56645382726998 12.827762869923031),operational,250,2024-12-17,2025-02-16 12:00:00,NH-003
SL-0207,POINT (77.56660876660132 12.82239503216851),operational,250,2022-03-21,2025-12-02 12:00:00,NH-003
SL-0208,POINT (77.56561701233106 12.822114895177583),operational,100,2017-07-19,2025-12-17 12:00:00,NH-003
SL-0209,POINT (77.56796206350211 12.833411324739561),operational,200,2020-08-02,2024-11-04 12:00:00,NH-003
SL-0210,POINT (77.56523578061238 12.831120513773083),operational,100,2020-08-02,2025-09-04 12:00:00,NH-003
SL-0211,POINT (77.56733382855228 12.829958170582273),operational,200,2018-03-23,2018-07-27 12:00:00,NH-003
SL-0212,POINT (77.56780708591039 12.816226395601873),operational,200,2018-03-04,2018-08-03 12:00:00,NH-003
SL-0213,POINT (77.56633360853985 12.81914073235627),operational,100,2022-07-15,2022-11-19 12:00:00,NH-003
SL-0214,POINT (77.56761246433418 12.83337564245061),operational,200,2019-04-16,2025-04-28 12:00:00,NH-003
SL-0215,POINT (77.56690550225863 12.821624945132406),operational,250,2020-05-26,2021-05-07 12:00:00,NH-003
SL-0216,POINT (77.56572497361124 12.819739123944789),operational,150,2020-07-18,2021-10-02 12:00:00,NH-003
SL-0217,POINT (77.56645976810317 12.819261011532527),operational,250,2023-09-17,2026-01-29 12:00:00,NH-003
SL-0218,POINT (77.56602335610404 12.82913394460173),operational,200,2023-02-08,2025-03-06 12:00:00,NH-003
SL-0219,POINT (77.567094178741 12.832274664574335),operational,200,2022-11-28,2025-01-25 12:00:00,NH-003
SL-0220,POINT (77.56603063821873 12.819688431665593),operational,150,2025-01-28,2025-12-24 12:00:00,NH-003
SL-0221,POINT (77.56755227805866 12.819526595995816),operational,150,2019-11-28,2024-12-27 12:00:00,NH-003
SL-0222,POINT (77.56814088605446 12.833888151641167),operational,200,2018-03-09,2025-12-10 12:00:00,NH-003
SL-0223,POINT (77.56608907017984 12.825708512543176),maintenance_required,250,2017-10-22,2023-05-29 12:00:00,NH-003
SL-0224,POINT (77.56783505345565 12.833583484769116),operational,100,2019-12-23,2023-10-17 12:00:00,NH-003
SL-0225,POINT (77.56581078535685 12.823678008913902),operational,150,2022-11-28,2023-05-26 12:00:00,NH-003
SL-0226,POINT (77.56543334829824 12.822854583870237),operational,200,2018-07-27,2022-12-17 12:00:00,NH-003
SL-0227,POINT (77.56511636104098 12.823233858742595),maintenance_required,250,2023-06-12,2023-09-23 12:00:00,NH-003
SL-0228,POINT (77.56621602382826 12.825620577713618),operational,250,2021-02-23,2022-09-22 12:00:00,NH-003
SL-0229,POINT (77.56600420346398 12.818402539284323),operational,200,2020-08-22,2022-04-18 12:00:00,NH-003
SL-0230,POINT (77.56686709853605 12.831914426823506),operational,200,2024-08-31,2025-08-20 12:00:00,NH-003
SL-0231,POINT (77.5659171600059 12.8257248747063),operational,100,2018-12-03,2024-12-08 12:00:00,NH-003
SL-0232,POINT (77.56886169334571 12.833912389616867),faulty,100,2022-09-09,2024-01-23 12:00:00,NH-003
SL-0233,POINT (77.56645013095265 12.82222584098225),operational,100,2019-03-15,2022-09-04 12:00:00,NH-003
SL-0234,POINT (77.56739665941932 12.81829321069181),maintenance_required,200,2020-11-08,2026-01-21 12:00:00,NH-003
SL-0235,POINT (77.56649060189842 12.824698249258843),operational,150,2024-06-07,2025-08-03 12:00:00,NH-003
SL-0236,POINT (77.56462819570814 12.821738310786788),operational,100,2022-01-06,2023-09-30 12:00:00,NH-003
SL-0237,POINT (77.56604791729023 12.83176586528293),faulty,200,2021-10-26,2021-11-19 12:00:00,NH-003
SL-0238,POINT (77.56715410010473 12.81849501949137),operational,200,2020-01-14,2022-02-24 12:00:00,NH-003
SL-0239,POINT (77.56584710873422 12.830418448599598),operational,200,2020-09-30,2022-02-16 12:00:00,NH-003
SL-0240,POINT (77.56552230708378 12.830119384616792),operational,250,2016-09-05,2024-07-25 12:00:00,NH-003
SL-0241,POINT (77.56577579771577 12.82919754723293),operational,100,2022-10-18,2025-11-06 12:00:00,NH-003
SL-0242,POINT (77.56498670402408 12.82297568570181),operational,200,2019-05-26,2024-06-13 12:00:00,NH-003
SL-0243,POINT (77.56840101130501 12.81639086141387),operational,200,2021-12-25,2024-11-08 12:00:00,NH-003
SL-0244,POINT (77.5654477127643 12.82438491921591),faulty,150,2020-11-28,2022-07-26 12:00:00,NH-003
SL-0245,POINT (77.56650734360943 12.832819798607487),operational,100,2018-08-21,2018-09-11 12:00:00,NH-003
SL-0246,POINT (77.56654580533178 12.822675338550486),operational,200,2019-05-18,2021-10-10 12:00:00,NH-003
SL-0247,POINT (77.56663082149349 12.822976688139068),operational,200,2021-11-15,2025-09-19 12:00:00,NH-003
