light_id,season,avg_temperature_c,rainfall_mm,failure_risk_score,predicted_failure_date
SL-0040,winter,19.33,9.68,0.45,
SL-0041,monsoon,25.11,156.65,0.92,
SL-0041,summer,32.17,23.14,0.74,
SL-0041,winter,18.18,8.55,0.38,
SL-0042,monsoon,27.6,179.25,0.97,2026-03-26
SL-0042,summer,37.89,22.05,0.7,2026-03-27
SL-0042,winter,19.45,14.82,0.49,
SL-0043,monsoon,28.56,198.48,0.82,2026-03-31
SL-0043,summer,35.69,25.71,0.7,2026-04-15
SL-0043,winter,22.17,8.14,0.4,
SL-0044,monsoon,25.73,157.9,0.97,2026-03-25
SL-0044,summer,34.7,38.22,0.68,2026-04-20
SL-0044,winter,18.89,15.82,0.54,2026-05-14
SL-0045,monsoon,25.73,204.22,0.95,2026-03-30
SL-0045,summer,36.48,20.86,0.74,2026-04-12
SL-0045,winter,18.08,13.36,0.44,
SL-0046,monsoon,25.41,234.34,0.99,2026-03-22
SL-0046,summer,32.02,28.8,0.73,2026-04-22
SL-0046,winter,22.26,7.82,0.39,
SL-0047,monsoon,25.68,180.48,0.88,2026-03-30
SL-0047,summer,32.84,15.83,0.78,2026-04-19
SL-0047,winter,24.58,6.15,0.53,2026-05-31
SL-0048,monsoon,28.3,158.94,0.8,2026-03-27
SL-0048,summer,36.81,15.87,0.72,2026-04-20
SL-0048,winter,18.35,5.64,0.27,
SL-0049,monsoon,26.92,220.89,0.86,2026-03-28
SL-0049,summer,32.93,16.39,0.68,2026-04-23
SL-0049,winter,23.74,9.29,0.46,
SL-0050,monsoon,26.99,225.93,0.9,2026-03-25
SL-0050,summer,37.81,37.02,0.8,2026-04-12
SL-0050,winter,24.29,17.54,0.38,
SL-0051,monsoon,27.77,190.45,0.99,2026-03-23
SL-0051,summer,37.3,24.34,0.74,2026-04-17
SL-0051,winter,21.26,16.3,0.49,
SL-0052,monsoon,29.75,203.53,0.83,2026-03-27
SL-0052,summer,35.15,35.14,0.7,2026-03-30
SL-0052,winter,24.14,5.27,0.3,
SL-0053,monsoon,25.06,191.5,0.93,2026-04-03
SL-0053,summer,34.37,21.24,0.74,2026-03-27
SL-0053,winter,23.16,17.77,0.43,
SL-0054,monsoon,25.94,190.39,0.98,2026-03-25
SL-0054,summer,35.11,15.9,0.67,2026-04-27
SL-0054,winter,24.84,12.71,0.5,
SL-0055,monsoon,25.22,209.2,0.91,2026-04-02
SL-0055,summer,35.6,35.98,0.72,2026-04-29
SL-0055,winter,21.24,16.75,0.54,2026-04-17
SL-0056,monsoon,29.97,221.33,0.99,2026-03-23
SL-0056,summer,33.23,24.5,0.82,2026-04-23
SL-0056,winter,18.02,7.24,0.61,2026-04-24
SL-0057,monsoon,29.35,212.67,0.95,2026-03-27
SL-0057,summer,34.38,39.39,0.85,2026-03-23
SL-0057,winter,22.01,18.8,0.36,
SL-0058,monsoon,28.97,182.94,0.99,2026-03-23
SL-0058,summer,32.75,21.57,0.8,2026-04-19
SL-0058,winter,18.81,9.65,0.48,
SL-0059,monsoon,25.05,226.72,0.86,2026-04-05
SL-0059,summer,33.34,35.85,0.66,2026-05-06
SL-0059,winter,20.31,7.33,0.4,
SL-0060,monsoon,26.86,177.96,0.99,2026-03-22
SL-0060,summer,35.61,22.25,0.79,2026-04-19
SL-0060,winter,19.38,17.23,0.46,
SL-0061,monsoon,27.88,167.86,0.91,2026-03-29
SL-0061,summer,36.16,18.56,0.76,2026-03-24
SL-0061,winter,24.99,11.56,0.52,2026-05-22
SL-0062,monsoon,29.29,199.65,0.85,2026-03-29
SL-0062,summer,37.71,31.36,0.78,2026-04-24
SL-0062,winter,20.55,7.99,0.52,2026-05-06
SL-0063,monsoon,27.43,221.88,0.95,2026-03-27
SL-0063,summer,36.96,27.97,0.65,2026-05-06
SL-0063,winter,21.12,12.64,0.39,
SL-0064,monsoon,29.95,227.73,0.77,2026-04-01
SL-0064,summer,36.66,19.88,0.56,2026-04-05
SL-0064,winter,24.71,11.49,0.26,
SL-0065,monsoon,25.27,170.28,0.97,2026-03-22
SL-0065,summer,32.36,19.03,0.7,2026-04-22
SL-0065,winter,19.5,5.92,0.43,
SL-0066,monsoon,25.84,216.91,0.99,2026-03-22
SL-0066,summer,36.0,31.23,0.7,2026-05-12
SL-0066,winter,23.7,7.21,0.44,
SL-0067,monsoon,28.98,195.91,0.93,2026-04-02
SL-0067,summer,35.37,25.25,0.71,2026-04-18
SL-0067,winter,20.62,19.97,0.48,
SL-0068,monsoon,29.64,210.17,0.87,2026-03-23
SL-0068,summer,33.8,27.31,0.83,2026-04-05
SL-0068,winter,21.82,11.1,0.53,2026-04-03
SL-0069,monsoon,27.72,176.76,0.99,
SL-0069,summer,36.67,31.23,0.7,
SL-0069,winter,23.48,10.76,0.43,
SL-0070,monsoon,29.75,206.99,0.95,2026-03-22
SL-0070,summer,32.72,32.19,0.65,2026-04-10
SL-0070,winter,18.16,15.71,0.43,
SL-0071,monsoon,29.2,228.09,0.81,2026-03-27
SL-0071,summer,36.59,25.11,0.59,2026-05-01
SL-0071,winter,23.21,15.25,0.28,
SL-0072,monsoon,28.84,214.69,0.99,2026-03-22
SL-0072,summer,33.0,35.79,0.74,2026-04-25
SL-0072,winter,18.93,11.08,0.47,
SL-0073,monsoon,25.11,180.74,0.95,2026-03-28
SL-0073,summer,32.6,32.0,0.61,2026-04-25
SL-0073,winter,18.23,16.42,0.37,
SL-0074,monsoon,26.82,164.13,0.9,2026-04-04
SL-0074,summer,34.64,21.92,0.77,2026-04-29
SL-0074,winter,22.43,12.43,0.37,
SL-0075,monsoon,29.23,222.59,0.89,2026-04-04
SL-0075,summer,33.59,22.5,0.65,2026-04-18
SL-0075,winter,21.9,13.9,0.38,
SL-0076,monsoon,27.97,194.91,0.97,2026-03-24
SL-0076,summer,34.35,15.57,0.72,2026-04-18
SL-0076,winter,20.31,5.17,0.35,
SL-0077,monsoon,28.01,228.74,0.92,2026-04-02
SL-0077,summer,36.46,26.12,0.59,2026-04-22
SL-0077,winter,24.18,11.12,0.3,
SL-0078,monsoon,27.28,233.9,0.89,2026-04-08
SL-0078,summer,35.0,27.28,0.78,2026-04-25
SL-0078,winter,24.68,15.66,0.32,
SL-0079,monsoon,28.4,205.33,0.89,
SL-0079,summer,33.47,34.75,0.79,
SL-0079,winter,18.36,9.43,0.45,
SL-0080,monsoon,28.94,211.46,0.84,2026-04-06
SL-0080,summer,35.39,18.82,0.71,2026-03-26
SL-0080,winter,21.37,13.78,0.52,2026-06-05
SL-0081,monsoon,26.58,152.98,0.99,
SL-0081,summer,33.68,22.94,0.75,
SL-0081,winter,18.76,17.83,0.55,
SL-0082,monsoon,25.35,203.26,0.99,2026-03-23
SL-0082,summer,36.83,18.44,0.73,2026-04-26
SL-0082,winter,21.99,19.11,0.38,
SL-0083,monsoon,27.62,234.64,0.96,2026-03-24
SL-0083,summer,35.7,39.6,0.82,2026-03-29
SL-0083,winter,20.06,10.25,0.48,
SL-0084,monsoon,28.41,191.38,0.99,2026-03-22
SL-0084,summer,36.85,38.75,0.84,2026-04-13
SL-0084,winter,20.68,15.46,0.36,
SL-0085,monsoon,28.34,241.74,0.86,2026-03-24
SL-0085,summer,35.18,16.4,0.71,2026-04-01
SL-0085,winter,22.48,17.16,0.43,
SL-0086,monsoon,25.74,183.3,0.97,
SL-0086,summer,36.88,23.7,0.65,
SL-0086,winter,23.61,10.05,0.47,
SL-0087,monsoon,25.34,201.97,0.86,2026-04-07
SL-0087,summer,36.5,17.12,0.59,2026-05-11
SL-0087,winter,20.87,12.6,0.43,
SL-0088,monsoon,27.64,191.22,0.99,2026-03-23
SL-0088,summer,36.91,27.36,0.67,2026-04-22
SL-0088,winter,24.73,16.08,0.35,
SL-0089,monsoon,25.77,154.42,0.95,2026-03-22
SL-0089,summer,33.33,34.86,0.72,2026-05-06
SL-0089,winter,23.44,15.42,0.46,
SL-0090,monsoon,28.4,184.89,0.89,2026-03-29
SL-0090,summer,37.48,23.45,0.61,2026-03-28
SL-0090,winter,23.73,18.21,0.35,
SL-0091,monsoon,25.88,192.2,0.88,2026-04-07
SL-0091,summer,33.14,24.68,0.76,2026-05-03
SL-0091,winter,24.47,17.08,0.53,2026-04-24
SL-0092,monsoon,27.73,248.67,0.91,2026-03-25
SL-0092,summer,35.51,28.57,0.76,2026-03-28
SL-0092,winter,23.22,11.72,0.37,
SL-0093,monsoon,29.66,196.35,0.96,2026-03-26
SL-0093,summer,34.57,18.31,0.67,2026-03-28
SL-0093,winter,22.62,11.42,0.39,
SL-0094,monsoon,25.81,219.46,0.86,2026-04-13
SL-0094,summer,32.02,23.65,0.83,2026-03-30
SL-0094,winter,18.87,17.73,0.54,2026-04-26
SL-0095,monsoon,28.1,218.72,0.99,2026-03-23
SL-0095,summer,36.53,34.07,0.82,2026-03-27
SL-0095,winter,18.81,7.44,0.55,2026-04-11
SL-0096,monsoon,29.41,174.69,0.96,2026-03-25
SL-0096,summer,32.63,20.81,0.76,2026-04-05
SL-0096,winter,21.44,18.22,0.38,
SL-0097,monsoon,25.64,243.59,0.93,2026-04-01
SL-0097,summer,36.81,29.26,0.83,2026-04-17
SL-0097,winter,24.4,7.09,0.42,
SL-0098,monsoon,27.95,215.27,0.92,2026-03-29
SL-0098,summer,33.28,37.66,0.71,2026-04-30
SL-0098,winter,18.42,18.47,0.35,
SL-0099,monsoon,25.4,178.42,0.96,2026-03-27
SL-0099,summer,36.43,22.38,0.81,2026-03-24
SL-0099,winter,24.3,18.48,0.48,
SL-0100,monsoon,26.57,229.71,0.83,
SL-0100,summer,32.09,31.42,0.7,
SL-0100,winter,20.12,17.81,0.37,
SL-0101,monsoon,28.17,231.67,0.98,2026-03-25
SL-0101,summer,35.65,24.09,0.78,2026-03-24
SL-0101,winter,23.76,14.57,0.41,
SL-0102,monsoon,28.3,195.57,0.99,2026-03-23
SL-0102,summer,32.32,37.71,0.85,2026-03-31
SL-0102,winter,20.04,9.69,0.51,2026-05-25
SL-0103,monsoon,26.94,152.25,0.98,2026-03-25
SL-0103,summer,36.9,24.21,0.68,2026-05-06
SL-0103,winter,18.44,5.82,0.36,
SL-0104,monsoon,29.51,186.17,0.88,2026-03-28
SL-0104,summer,33.66,21.12,0.84,2026-04-10
SL-0104,winter,19.53,15.62,0.45,
SL-0105,monsoon,25.55,207.12,0.87,2026-04-05
SL-0105,summer,35.52,19.31,0.74,2026-04-19
SL-0105,winter,22.8,15.86,0.39,
SL-0106,monsoon,28.0,226.21,0.88,2026-04-06
SL-0106,summer,32.91,39.08,0.6,2026-05-10
SL-0106,winter,24.64,5.81,0.39,
SL-0107,monsoon,28.6,163.5,0.9,2026-04-07
SL-0107,summer,37.65,18.84,0.83,2026-03-29
SL-0107,winter,18.42,18.64,0.47,
SL-0108,monsoon,27.46,229.2,0.86,2026-03-24
SL-0108,summer,37.8,26.7,0.66,2026-04-03
SL-0108,winter,18.77,10.17,0.38,
SL-0109,monsoon,27.32,165.47,0.8,
SL-0109,summer,33.05,15.27,0.69,
SL-0109,winter,22.8,5.41,0.33,
SL-0110,monsoon,25.24,175.51,0.96,2026-03-24
SL-0110,summer,36.02,37.55,0.8,2026-04-04
SL-0110,winter,21.55,13.7,0.54,2026-05-03
SL-0111,monsoon,27.93,228.45,0.87,2026-04-11
SL-0111,summer,33.96,23.22,0.66,2026-04-05
SL-0111,winter,21.78,18.09,0.44,
SL-0112,monsoon,28.14,192.15,0.96,2026-03-24
SL-0112,summer,37.85,33.54,0.61,2026-04-06
SL-0112,winter,18.98,9.58,0.48,
SL-0113,monsoon,27.06,164.55,0.95,2026-03-24
SL-0113,summer,32.67,36.83,0.74,2026-03-31
SL-0113,winter,24.61,8.61,0.46,
SL-0114,monsoon,29.3,154.83,0.99,
SL-0114,summer,32.54,37.7,0.83,
SL-0114,winter,19.39,5.01,0.45,
SL-0115,monsoon,26.2,162.8,0.88,2026-04-02
SL-0115,summer,34.1,38.88,0.64,2026-03-29
SL-0115,winter,24.09,5.9,0.51,2026-05-11
SL-0116,monsoon,29.14,222.5,0.99,2026-03-22
SL-0116,summer,36.16,29.62,0.86,2026-04-02
SL-0116,winter,24.52,7.19,0.61,2026-05-20
SL-0117,monsoon,27.63,212.32,0.99,2026-03-23
SL-0117,summer,32.22,32.77,0.77,2026-04-17
SL-0117,winter,22.93,13.79,0.49,
SL-0118,monsoon,28.13,155.68,0.99,2026-03-23
SL-0118,summer,33.29,30.5,0.79,2026-04-11
SL-0118,winter,18.04,11.23,0.47,
SL-0119,monsoon,26.99,170.93,0.95,2026-03-22
SL-0119,summer,33.58,19.22,0.81,2026-04-15
SL-0119,winter,19.95,17.0,0.46,
SL-0120,monsoon,27.45,206.57,0.82,2026-04-21
SL-0120,summer,35.47,20.08,0.72,2026-04-27
SL-0120,winter,24.69,9.36,0.29,
SL-0121,monsoon,25.11,165.33,0.86,2026-04-12
SL-0121,summer,36.62,39.36,0.7,2026-04-12
SL-0121,winter,23.51,5.75,0.37,
SL-0122,monsoon,27.71,240.75,0.99,2026-03-22
SL-0122,summer,35.12,38.23,0.75,2026-03-29
SL-0122,winter,18.92,13.16,0.37,
SL-0123,monsoon,25.14,213.09,0.9,2026-03-28
SL-0123,summer,35.28,39.1,0.67,2026-05-15
SL-0123,winter,23.27,7.7,0.35,
SL-0124,monsoon,29.65,180.22,0.99,2026-03-23
SL-0124,summer,35.7,25.63,0.79,2026-04-17
SL-0124,winter,18.53,5.35,0.54,2026-04-09
SL-0125,monsoon,27.85,177.0,0.92,2026-03-23
SL-0125,summer,32.45,17.97,0.63,2026-05-01
SL-0125,winter,24.2,15.22,0.29,
SL-0126,monsoon,27.32,231.32,0.85,2026-04-09
SL-0126,summer,33.08,29.89,0.64,2026-05-09
SL-0126,winter,24.3,13.85,0.41,
SL-0127,monsoon,29.38,199.74,0.99,2026-03-23
SL-0127,summer,34.14,24.4,0.86,2026-03-31
SL-0127,winter,23.79,6.66,0.59,2026-05-26
SL-0128,monsoon,27.27,224.57,0.89,2026-04-04
SL-0128,summer,33.31,25.94,0.61,2026-05-09
SL-0128,winter,24.05,17.07,0.43,
SL-0129,monsoon,29.06,156.46,0.93,2026-03-27
SL-0129,summer,34.49,36.48,0.74,2026-04-15
SL-0129,winter,20.92,19.36,0.5,
SL-0130,monsoon,26.22,192.37,0.99,2026-03-22
SL-0130,summer,35.94,19.27,0.79,2026-04-28
SL-0130,winter,20.17,14.65,0.53,2026-04-18
SL-0131,monsoon,26.45,234.74,0.91,2026-04-01
SL-0131,summer,37.98,31.75,0.75,2026-04-11
SL-0131,winter,19.53,7.43,0.4,
SL-0132,monsoon,26.11,192.46,0.93,2026-03-26
SL-0132,summer,32.83,23.24,0.71,2026-04-01
SL-0132,winter,19.71,6.42,0.43,
SL-0133,monsoon,27.41,233.54,0.99,2026-03-22
SL-0133,summer,37.92,21.96,0.67,2026-05-13
SL-0133,winter,18.65,12.57,0.38,
SL-0134,monsoon,26.73,176.6,0.98,2026-03-24
SL-0134,summer,36.61,31.84,0.71,2026-04-19
SL-0134,winter,24.46,11.34,0.45,
SL-0135,monsoon,25.94,238.54,0.94,2026-03-28
SL-0135,summer,36.0,36.76,0.74,2026-04-12
SL-0135,winter,24.72,10.47,0.36,
SL-0136,monsoon,27.8,225.59,0.9,2026-03-29
SL-0136,summer,34.86,22.42,0.66,2026-03-31
SL-0136,winter,23.8,6.65,0.44,
SL-0137,monsoon,27.11,246.37,0.77,2026-04-15
SL-0137,summer,37.78,27.64,0.67,2026-05-10
SL-0137,winter,23.63,12.5,0.25,
SL-0138,monsoon,28.43,186.17,0.92,2026-04-01
SL-0138,summer,34.9,22.95,0.67,2026-04-24
SL-0138,winter,20.19,8.45,0.55,2026-05-10
SL-0139,monsoon,25.62,223.27,0.99,2026-03-22
SL-0139,summer,34.44,24.14,0.64,2026-04-04
SL-0139,winter,19.62,9.2,0.45,
SL-0140,monsoon,27.8,195.2,0.94,2026-03-26
SL-0140,summer,36.87,28.96,0.84,2026-04-09
SL-0140,winter,24.44,13.68,0.36,
SL-0141,monsoon,26.95,201.95,0.99,2026-03-23
SL-0141,summer,34.25,21.2,0.71,2026-04-12
SL-0141,winter,24.12,12.63,0.37,
SL-0142,monsoon,25.52,176.02,0.99,2026-03-23
SL-0142,summer,35.78,22.71,0.77,2026-04-28
SL-0142,winter,20.67,10.77,0.4,
SL-0143,monsoon,25.71,158.41,0.87,2026-04-13
SL-0143,summer,32.8,35.4,0.69,2026-04-21
SL-0143,winter,21.82,19.57,0.35,
SL-0144,monsoon,28.3,210.75,0.93,2026-03-29
SL-0144,summer,33.72,15.96,0.73,2026-04-23
SL-0144,winter,20.58,13.78,0.55,2026-06-01
SL-0145,monsoon,25.8,212.21,0.99,2026-03-22
SL-0145,summer,36.66,20.95,0.81,2026-03-30
SL-0145,winter,21.51,5.18,0.45,
SL-0146,monsoon,28.01,215.82,0.92,2026-03-25
SL-0146,summer,33.27,29.64,0.68,2026-03-31
SL-0146,winter,24.0,13.66,0.38,
SL-0147,monsoon,28.3,205.44,0.99,2026-03-23
SL-0147,summer,33.93,15.4,0.76,2026-04-05
SL-0147,winter,19.42,10.49,0.42,
SL-0148,monsoon,26.29,162.65,0.87,2026-04-06
SL-0148,summer,37.4,36.65,0.59,2026-04-25
SL-0148,winter,22.3,19.75,0.41,
SL-0149,monsoon,26.82,169.69,0.93,2026-03-24
SL-0149,summer,33.29,21.25,0.8,2026-04-11
SL-0149,winter,19.19,19.47,0.36,
SL-0150,monsoon,26.04,154.67,0.99,2026-03-23
SL-0150,summer,33.81,25.58,0.75,2026-04-27
SL-0150,winter,23.59,15.2,0.44,
SL-0151,monsoon,26.82,214.18,0.96,2026-03-28
SL-0151,summer,36.56,30.97,0.75,2026-04-07
SL-0151,winter,23.64,10.08,0.55,2026-05-21
SL-0152,monsoon,26.44,203.75,0.97,2026-03-26
SL-0152,summer,32.21,21.37,0.71,2026-04-07
SL-0152,winter,20.65,8.73,0.38,
SL-0153,monsoon,28.49,187.26,0.99,2026-03-23
SL-0153,summer,34.96,36.17,0.66,2026-05-09
SL-0153,winter,19.95,6.91,0.5,
SL-0154,monsoon,27.39,156.56,0.99,2026-03-22
SL-0154,summer,32.43,22.47,0.78,2026-04-26
SL-0154,winter,23.33,7.43,0.4,
SL-0155,monsoon,29.25,230.58,0.99,2026-03-23
SL-0155,summer,35.91,16.12,0.8,2026-04-10
SL-0155,winter,20.92,9.23,0.39,
SL-0156,monsoon,27.38,247.0,0.91,2026-04-03
SL-0156,summer,32.59,26.75,0.73,2026-05-08
SL-0156,winter,20.87,19.46,0.51,2026-04-06
SL-0157,monsoon,25.02,202.99,0.99,2026-03-22
SL-0157,summer,32.79,36.46,0.77,2026-03-27
SL-0157,winter,21.72,13.75,0.54,2026-05-28
SL-0158,monsoon,25.28,200.96,0.99,2026-03-22
SL-0158,summer,36.32,24.27,0.75,2026-04-07
SL-0158,winter,19.93,14.59,0.37,
SL-0159,monsoon,28.23,158.14,0.99,2026-03-22
SL-0159,summer,34.6,28.07,0.75,2026-04-25
SL-0159,winter,21.11,7.0,0.51,2026-04-25
SL-0160,monsoon,28.52,228.53,0.88,2026-04-02
SL-0160,summer,33.09,38.68,0.84,2026-04-17
SL-0160,winter,24.88,17.98,0.54,2026-06-12
SL-0161,monsoon,28.48,170.99,0.97,2026-03-26
SL-0161,summer,35.74,22.73,0.73,2026-04-22
SL-0161,winter,23.66,8.93,0.49,
SL-0162,monsoon,29.94,199.8,0.86,2026-04-09
SL-0162,summer,37.41,32.41,0.65,2026-05-16
SL-0162,winter,18.29,18.16,0.37,
SL-0163,monsoon,25.65,206.17,0.86,2026-04-03
SL-0163,summer,32.55,15.54,0.57,2026-04-07
SL-0163,winter,18.36,12.39,0.39,
SL-0164,monsoon,29.19,193.26,0.99,2026-03-22
SL-0164,summer,37.65,24.82,0.73,2026-04-10
SL-0164,winter,21.51,10.63,0.51,2026-03-28
SL-0165,monsoon,28.59,166.5,0.95,2026-03-27
SL-0165,summer,35.63,32.91,0.71,2026-04-14
SL-0165,winter,20.3,7.93,0.33,
SL-0166,monsoon,27.16,196.21,0.91,2026-03-30
SL-0166,summer,36.39,38.09,0.84,2026-03-27
SL-0166,winter,22.62,13.6,0.44,
SL-0167,monsoon,27.04,188.58,0.89,2026-03-25
SL-0167,summer,37.4,39.72,0.66,2026-04-22
SL-0167,winter,21.23,9.25,0.35,
SL-0168,monsoon,25.58,215.51,0.94,2026-03-31
SL-0168,summer,33.38,26.26,0.77,2026-04-09
SL-0168,winter,24.47,7.92,0.36,
SL-0169,monsoon,26.83,152.14,0.95,2026-03-24
SL-0169,summer,35.71,16.65,0.7,2026-04-07
SL-0169,winter,24.98,19.52,0.46,
SL-0170,monsoon,26.37,234.19,0.95,2026-03-28
SL-0170,summer,36.59,30.04,0.67,2026-04-29
SL-0170,winter,23.02,11.92,0.44,
SL-0171,monsoon,28.1,198.17,0.92,2026-04-03
SL-0171,summer,33.42,27.09,0.84,2026-04-14
SL-0171,winter,22.45,8.7,0.51,2026-04-08
SL-0172,monsoon,28.26,225.42,0.86,2026-04-15
SL-0172,summer,36.38,37.95,0.82,2026-03-30
SL-0172,winter,22.66,9.54,0.48,
SL-0173,monsoon,27.32,232.2,0.99,2026-03-23
