light_id,grid_zone,avg_load_percent,outage_history_count
SL-0134,ZONE-E,67.25,1
SL-0135,ZONE-A,71.63,2
SL-0136,ZONE-B,83.94,7
SL-0137,ZONE-C,72.32,0
SL-0138,ZONE-D,79.36,4
SL-0139,ZONE-E,73.5,0
SL-0140,ZONE-A,78.25,4
SL-0141,ZONE-B,84.88,6
SL-0142,ZONE-C,65.28,1
SL-0143,ZONE-D,79.31,2
SL-0144,ZONE-E,73.55,1
SL-0145,ZONE-A,76.4,4
SL-0146,ZONE-B,79.49,2
SL-0147,ZONE-C,65.27,0
SL-0148,ZONE-D,75.05,3
SL-0149,ZONE-E,74.54,2
SL-0150,ZONE-A,77.27,3
SL-0151,ZONE-B,84.49,7
SL-0152,ZONE-C,63.13,2
SL-0153,ZONE-D,76.01,2
SL-0154,ZONE-E,75.53,3
SL-0155,ZONE-A,70.32,0
SL-0156,ZONE-B,77.79,4
SL-0157,ZONE-C,65.54,2
SL-0158,ZONE-D,82.22,4
SL-0159,ZONE-E,70.77,0
SL-0160,ZONE-A,75.39,1
SL-0161,ZONE-B,85.88,7
SL-0162,ZONE-C,72.3,1
SL-0163,ZONE-D,77.38,2
SL-0164,ZONE-E,73.02,0
SL-0165,ZONE-A,72.3,2
SL-0166,ZONE-B,85.14,4
SL-0167,ZONE-C,63.98,0
SL-0168,ZONE-D,82.01,8
SL-0169,ZONE-E,71.04,1
SL-0170,ZONE-A,78.96,4
SL-0171,ZONE-B,80.93,7
SL-0172,ZONE-C,69.21,0
SL-0173,ZONE-D,75.08,1
SL-0174,ZONE-E,66.93,1
SL-0175,ZONE-A,79.67,1
SL-0176,ZONE-B,79.63,3
SL-0177,ZONE-C,64.68,0
SL-0178,ZONE-D,73.33,2
SL-0179,ZONE-E,69.13,0
SL-0180,ZONE-A,71.53,1
SL-0181,ZONE-B,80.49,8
SL-0182,ZONE-C,72.93,1
SL-0183,ZONE-D,75.35,3
SL-0184,ZONE-E,68.15,2
SL-0185,ZONE-A,74.95,1
SL-0186,ZONE-B,78.53,3
SL-0187,ZONE-C,67.92,1
SL-0188,ZONE-D,78.91,1
SL-0189,ZONE-E,74.35,2
SL-0190,ZONE-A,77.34,1
SL-0191,ZONE-B,80.77,4
SL-0192,ZONE-C,71.26,0
SL-0193,ZONE-D,81.43,6
SL-0194,ZONE-E,70.75,0
SL-0195,ZONE-A,73.7,2
SL-0196,ZONE-B,78.64,3
SL-0197,ZONE-C,68.44,2
SL-0198,ZONE-D,76.0,3
SL-0199,ZONE-E,74.21,0
SL-0200,ZONE-A,70.89,1
SL-0201,ZONE-B,78.79,1
SL-0202,ZONE-C,63.29,2
SL-0203,ZONE-D,82.28,6
SL-0204,ZONE-E,68.13,2
SL-0205,ZONE-A,73.06,1
SL-0206,ZONE-B,78.61,3
SL-0207,ZONE-C,71.97,1
SL-0208,ZONE-D,78.8,4
SL-0209,ZONE-E,72.82,2
SL-0210,ZONE-A,76.79,2
SL-0211,ZONE-B,82.45,3
SL-0212,ZONE-C,67.86,2
SL-0213,ZONE-D,78.6,1
SL-0214,ZONE-E,68.52,0
SL-0215,ZONE-A,77.29,1
SL-0216,ZONE-B,78.59,3
SL-0217,ZONE-C,66.27,2
SL-0218,ZONE-D,75.77,2
SL-0219,ZONE-E,71.75,0
SL-0220,ZONE-A,72.49,1
SL-0221,ZONE-B,78.44,3
SL-0222,ZONE-C,68.15,0
SL-0223,ZONE-D,75.6,2
SL-0224,ZONE-E,73.14,1
SL-0225,ZONE-A,79.32,1
SL-0226,ZONE-B,85.9,6
SL-0227,ZONE-C,67.37,2
SL-0228,ZONE-D,73.31,1
SL-0229,ZONE-E,67.02,0
SL-0230,ZONE-A,78.2,3
SL-0231,ZONE-B,83.3,8
SL-0232,ZONE-C,67.97,2
SL-0233,ZONE-D,75.58,1
SL-0234,ZONE-E,70.26,2
SL-0235,ZONE-A,74.12,1
SL-0236,ZONE-B,83.66,5
SL-0237,ZONE-C,71.26,1
SL-0238,ZONE-D,76.51,4
SL-0239,ZONE-E,71.48,2
SL-0240,ZONE-A,70.01,2
SL-0241,ZONE-B,86.88,4
SL-0242,ZONE-C,72.1,1
SL-0243,ZONE-D,73.31,0
SL-0244,ZONE-E,66.53,1
SL-0245,ZONE-A,75.12,4
SL-0246,ZONE-B,79.25,1
SL-0247,ZONE-C,69.25,0
SL-0248,ZONE-D,80.39,7
SL-0249,ZONE-E,73.91,0
SL-0250,ZONE-A,72.4,0
SL-0251,ZONE-B,83.86,4
SL-0252,ZONE-C,63.94,2
SL-0253,ZONE-D,80.88,3
SL-0254,ZONE-E,68.53,0
SL-0255,ZONE-A,75.86,1
SL-0256,ZONE-B,84.08,7
SL-0257,ZONE-C,67.42,0
SL-0258,ZONE-D,73.59,2
SL-0259,ZONE-E,75.99,4
SL-0260,ZONE-A,74.85,0
SL-0261,ZONE-B,80.12,8
SL-0262,ZONE-C,65.59,1
SL-0263,ZONE-D,81.47,6
SL-0264,ZONE-E,68.56,0
SL-0265,ZONE-A,79.29,4
SL-0266,ZONE-B,81.83,7
SL-0267,ZONE-C,71.02,2
SL-0268,ZONE-D,80.22,6
SL-0269,ZONE-E,67.48,0
SL-0270,ZONE-A,79.16,3
SL-0271,ZONE-B,81.74,6
SL-0272,ZONE-C,68.94,0
SL-0273,ZONE-D,73.86,1
SL-0274,ZONE-E,69.09,1
SL-0275,ZONE-A,72.09,2
SL-0276,ZONE-B,80.08,3
SL-0277,ZONE-C,69.31,0
SL-0278,ZONE-D,76.95,2
SL-0279,ZONE-E,71.96,0
SL-0280,ZONE-A,73.37,2
SL-0281,ZONE-B,81.13,4
SL-0282,ZONE-C,64.14,2
SL-0283,ZONE-D,77.42,2
SL-0284,ZONE-E,75.11,1
SL-0285,ZONE-A,71.3,2
SL-0286,ZONE-B,80.05,3
SL-0287,ZONE-C,64.93,0
SL-0288,ZONE-D,78.62,3
SL-0289,ZONE-E,71.28,2
SL-0290,ZONE-A,70.69,0
SL-0291,ZONE-B,78.61,3
SL-0292,ZONE-C,63.25,1
SL-0293,ZONE-D,77.0,2
SL-0294,ZONE-E,70.11,2
SL-0295,ZONE-A,72.63,2
SL-0296,ZONE-B,86.38,4
SL-0297,ZONE-C,64.18,0
SL-0298,ZONE-D,75.97,1
SL-0299,ZONE-E,74.66,1
SL-0300,ZONE-A,79.63,1
SL-0301,ZONE-B,77.78,3
SL-0302,ZONE-C,69.31,1
SL-0303,ZONE-D,78.73,3
SL-0304,ZONE-E,71.25,2
SL-0305,ZONE-A,73.11,2
SL-0306,ZONE-B,78.79,4
SL-0307,ZONE-C,69.64,0
SL-0308,ZONE-D,81.37,6
SL-0309,ZONE-E,67.7,1
SL-0310,ZONE-A,77.04,2
SL-0311,ZONE-B,81.15,6
SL-0312,ZONE-C,68.28,1
SL-0313,ZONE-D,76.89,3
SL-0314,ZONE-E,75.96,1
SL-0315,ZONE-A,71.39,0
SL-0316,ZONE-B,78.95,3
SL-0317,ZONE-C,66.78,1
SL-0318,ZONE-D,79.52,1
SL-0319,ZONE-E,68.91,0
SL-0320,ZONE-A,76.22,3
SL-0321,ZONE-B,80.77,7
SL-0322,ZONE-C,63.43,2
SL-0323,ZONE-D,77.52,2
SL-0324,ZONE-E,68.32,0
SL-0325,ZONE-A,72.31,1
SL-0326,ZONE-B,82.93,7
SL-0327,ZONE-C,72.98,2
SL-0328,ZONE-D,73.48,2
SL-0329,ZONE-E,70.37,0
SL-0330,ZONE-A,71.44,0
SL-0331,ZONE-B,86.43,6
SL-0332,ZONE-C,71.54,1
SL-0333,ZONE-D,80.67,6
SL-0334,ZONE-E,66.87,1
SL-0335,ZONE-A,75.87,2
SL-0336,ZONE-B,78.56,3
SL-0337,ZONE-C,72.04,2
SL-0338,ZONE-D,81.04,5
SL-0339,ZONE-E,67.78,2
SL-0340,ZONE-A,70.94,0
SL-0341,ZONE-B,79.55,2
SL-0342,ZONE-C,68.04,0
SL-0343,ZONE-D,81.92,6
SL-0344,ZONE-E,75.17,2
SL-0345,ZONE-A,79.43,3
SL-0346,ZONE-B,79.12,3
SL-0347,ZONE-C,71.42,0
SL-0348,ZONE-D,75.07,4
SL-0349,ZONE-E,73.2,2
SL-0350,ZONE-A,77.84,1
SL-0351,ZONE-B,80.7,7
SL-0352,ZONE-C,64.72,2
SL-0353,ZONE-D,80.46,5
SL-0354,ZONE-E,75.76,1
SL-0355,ZONE-A,77.48,3
SL-0356,ZONE-B,80.45,7
SL-0357,ZONE-C,70.97,1
SL-0358,ZONE-D,73.8,1
SL-0359,ZONE-E,74.77,0
SL-0360,ZONE-A,79.42,1
SL-0361,ZONE-B,85.34,3
SL-0362,ZONE-C,69.67,0
SL-0363,ZONE-D,81.15,3
SL-0364,ZONE-E,67.21,1
SL-0365,ZONE-A,75.37,2
SL-0366,ZONE-B,77.28,2
SL-0367,ZONE-C,67.57,1
SL-0368,ZONE-D,76.82,2
SL-0369,ZONE-E,66.01,0
SL-0370,ZONE-A,76.95,2
SL-0371,ZONE-B,78.25,1
SL-0372,ZONE-C,69.98,1
SL-0373,ZONE-D,76.1,1
SL-0374,ZONE-E,69.11,0
SL-0375,ZONE-A,74.15,0
SL-0376,ZONE-B,85.01,8
SL-0377,ZONE-C,66.29,1
SL-0378,ZONE-D,80.04,8
SL-0379,ZONE-E,68.47,1
SL-0380,ZONE-A,71.22,2
SL-0381,ZONE-B,85.27,3
SL-0382,ZONE-C,67.42,0
SL-0383,ZONE-D,80.55,3
SL-0384,ZONE-E,71.74,2
SL-0385,ZONE-A,72.76,2
SL-0386,ZONE-B,79.59,1
SL-0387,ZONE-C,71.57,1
SL-0388,ZONE-D,79.17,2
SL-0389,ZONE-E,72.79,0
SL-0390,ZONE-A,71.6,2
SL-0391,ZONE-B,83.27,7
SL-0392,ZONE-C,64.72,1
SL-0393,ZONE-D,73.24,2
SL-0394,ZONE-E,69.54,0
SL-0395,ZONE-A,78.7,1
SL-0396,ZONE-B,78.66,4
SL-0397,ZONE-C,64.35,1
SL-0398,ZONE-D,77.92,4
SL-0399,ZONE-E,72.47,1
SL-0400,ZONE-A,79.15,1
SL-0401,ZONE-B,81.34,6
SL-0402,ZONE-C,66.99,0
SL-0403,ZONE-D,81.01,6
SL-0404,ZONE-E,69.02,2
SL-0405,ZONE-A,74.07,2
SL-0406,ZONE-B,85.93,8
SL-0407,ZONE-C,68.98,2
SL-0408,ZONE-D,79.64,2
SL-0409,ZONE-E,71.4,1
SL-0410,ZONE-A,76.95,4
SL-0411,ZONE-B,85.7,7
SL-0412,ZONE-C,68.53,2
SL-0413,ZONE-D,76.29,1
SL-0414,ZONE-E,66.14,1
SL-0415,ZONE-A,72.78,0
SL-0416,ZONE-B,85.28,6
SL-0417,ZONE-C,69.01,1
SL-0418,ZONE-D,77.66,1
SL-0419,ZONE-E,66.01,1
SL-0420,ZONE-A,75.79,4
SL-0421,ZONE-B,85.51,5
SL-0422,ZONE-C,63.17,0
SL-0423,ZONE-D,75.45,4
SL-0424,ZONE-E,73.56,1
SL-0425,ZONE-A,77.87,4
SL-0426,ZONE-B,77.53,2
SL-0427,ZONE-C,68.88,0
SL-0428,ZONE-D,77.21,2
SL-0429,ZONE-E,70.95,0
SL-0430,ZONE-A,73.63,0
SL-0431,ZONE-B,85.15,6
SL-0432,ZONE-C,66.24,1
SL-0433,ZONE-D,80.13,3
SL-0434,ZONE-E,73.87,0
SL-0435,ZONE-A,73.26,0
SL-0436,ZONE-B,81.28,4
SL-0437,ZONE-C,70.13,2
SL-0438,ZONE-D,82.16,4
SL-0439,ZONE-E,66.12,2
SL-0440,ZONE-A,77.56,1
SL-0441,ZONE-B,86.63,7
SL-0442,ZONE-C,68.95,2
SL-0443,ZONE-D,81.66,7
SL-0444,ZONE-E,74.12,1
SL-0445,ZONE-A,74.66,2
SL-0446,ZONE-B,77.52,2
SL-0447,ZONE-C,70.67,0
SL-0448,ZONE-D,79.29,3
SL-0449,ZONE-E,69.54,1
SL-0450,ZONE-A,77.84,4
SL-0451,ZONE-B,81.48,7
SL-0452,ZONE-C,72.39,0
SL-0453,ZONE-D,77.29,4
SL-0454,ZONE-E,72.03,0
SL-0455,ZONE-A,70.87,0
SL-0456,ZONE-B,84.41,3
SL-0457,ZONE-C,72.21,1
SL-0458,ZONE-D,82.93,4
SL-0459,ZONE-E,73.2,2
SL-0460,ZONE-A,77.97,4
SL-0461,ZONE-B,82.14,3
SL-0462,ZONE-C,64.97,2
SL-0463,ZONE-D,78.13,3
SL-0464,ZONE-E,74.08,0
SL-0465,ZONE-A,79.96,3
SL-0466,ZONE-B,77.95,1
SL-0467,ZONE-C,72.89,1
SL-0468,ZONE-D,81.81,6
SL-0469,ZONE-E,71.81,1
SL-0470,ZONE-A,71.32,0
SL-0471,ZONE-B,85.47,5
SL-0472,ZONE-C,65.45,0
SL-0473,ZONE-D,80.99,3
SL-0474,ZONE-E,66.91,1
SL-0475,ZONE-A,76.8,2
SL-0476,ZONE-B,84.15,8
SL-0477,ZONE-C,67.06,2
SL-0478,ZONE-D,80.98,3
SL-0479,ZONE-E,69.28,1
SL-0480,ZONE-A,72.29,0
SL-0481,ZONE-B,78.85,1
SL-0482,ZONE-C,68.59,2
SL-0483,ZONE-D,78.27,1
SL-0484,ZONE-E,67.06,0
SL-0485,ZONE-A,78.36,1
SL-0486,ZONE-B,86.39,7
SL-0487,ZONE-C,63.9,2
SL-0488,ZONE-D,77.48,2
SL-0489,ZONE-E,68.02,1
SL-0490,ZONE-A,74.74,0
SL-0491,ZONE-B,86.8,4
SL-0492,ZONE-C,64.86,0
SL-0493,ZONE-D,81.56,3
SL-0494,ZONE-E,71.49,2
SL-0495,ZONE-A,79.6,3
SL-0496,ZONE-B,86.06,8
SL-0497,ZONE-C,65.92,2
SL-0498,ZONE-D,75.63,2
SL-0499,ZONE-E,67.87,0
SL-0500,ZONE-A,74.67,1
SL-0501,ZONE-B,78.53,4
SL-0502,ZONE-C,67.94,2
SL-0503,ZONE-D,82.62,7
SL-0504,ZONE-E,71.27,2
SL-0505,ZONE-A,74.72,2
SL-0506,ZONE-B,86.82,5
SL-0507,ZONE-C,64.17,2
SL-0508,ZONE-D,76.84,1
SL-0509,ZONE-E,72.53,0
SL-0510,ZONE-A,78.89,2
SL-0511,ZONE-B,81.98,6
SL-0512,ZONE-C,64.06,0
SL-0513,ZONE-D,82.96,6
SL-0514,ZONE-E,74.61,0
SL-0515,ZONE-A,71.21,0
SL-0516,ZONE-B,84.3,7
SL-0517,ZONE-C,72.63,0
SL-0518,ZONE-D,78.23,2
SL-0519,ZONE-E,74.11,2
SL-0520,ZONE-A,71.26,1
SL-0521,ZONE-B,82.05,5
SL-0522,ZONE-C,65.62,0
SL-0523,ZONE-D,77.85,3
SL-0524,ZONE-E,67.24,2
SL-0525,ZONE-A,79.76,1
SL-0526,ZONE-B,86.4,5
SL-0527,ZONE-C,67.57,0
SL-0528,ZONE-D,81.08,7
SL-0529,ZONE-E,67.13,1
SL-0530,ZONE-A,72.86,0
SL-0531,ZONE-B,80.99,6
SL-0532,ZONE-C,63.04,1
SL-0533,ZONE-D,80.94,4
SL-0534,ZONE-E,67.54,2
SL-0535,ZONE-A,75.67,4
SL-0536,ZONE-B,84.84,6
SL-0537,ZONE-C,72.45,2
SL-0538,ZONE-D,76.79,2
SL-0539,ZONE-E,70.84,2
SL-0540,ZONE-A,71.75,0
SL-0541,ZONE-B,80.21,3
SL-0542,ZONE-C,70.68,0
SL-0543,ZONE-D,82.74,8
SL-0544,ZONE-E,68.37,2
SL-0545,ZONE-A,77.22,4
SL-0546,ZONE-B,77.01,3
SL-0547,ZONE-C,70.94,2
SL-0548,ZONE-D,81.36,3
SL-0549,ZONE-E,67.58,2
SL-0550,ZONE-A,70.04,0
SL-0551,ZONE-B,77.82,3
SL-0552,ZONE-C,65.39,1
SL-0553,ZONE-D,74.86,0
SL-0554,ZONE-E,70.32,2
SL-0555,ZONE-A,72.92,1
SL-0556,ZONE-B,85.86,3
SL-0557,ZONE-C,70.2,1
SL-0558,ZONE-D,77.54,2
SL-0559,ZONE-E,75.61,4
SL-0560,ZONE-A,79.04,4
SL-0561,ZONE-B,79.75,1
SL-0562,ZONE-C,71.31,1
SL-0563,ZONE-D,76.86,3
SL-0564,ZONE-E,72.0,0
SL-0565,ZONE-A,71.29,2
SL-0566,ZONE-B,80.53,5
SL-0567,ZONE-C,64.76,0
SL-0568,ZONE-D,81.82,6
SL-0569,ZONE-E,72.63,0
SL-0570,ZONE-A,70.41,0
SL-0571,ZONE-B,79.48,3
SL-0572,ZONE-C,68.75,2
SL-0573,ZONE-D,80.05,3
SL-0574,ZONE-E,70.03,0
SL-0575,ZONE-A,70.54,0
SL-0576,ZONE-B,84.99,8
SL-0577,ZONE-C,72.33,1
SL-0578,ZONE-D,80.02,3
SL-0579,ZONE-E,72.26,0
SL-0580,ZONE-A,74.1,2
SL-0581,ZONE-B,81.58,4
SL-0582,ZONE-C,72.24,1
SL-0583,ZONE-D,79.32,4
SL-0584,ZONE-E,74.11,0
SL-0585,ZONE-A,73.08,2
SL-0586,ZONE-B,83.78,3
SL-0587,ZONE-C,70.01,0
SL-0588,ZONE-D,75.15,1
SL-0589,ZONE-E,70.66,1
SL-0590,ZONE-A,71.08,0
SL-0591,ZONE-B,80.43,4
SL-0592,ZONE-C,67.18,1
SL-0593,ZONE-D,74.78,0
SL-0594,ZONE-E,68.58,2
SL-0595,ZONE-A,74.63,1
SL-0596,ZONE-B,81.46,6
SL-0597,ZONE-C,72.06,1
SL-0598,ZONE-D,73.8,1
SL-0599,ZONE-E,74.15,1
SL-0600,ZONE-A,75.45,1
SL-0601,ZONE-B,86.27,6
SL-0602,ZONE-C,72.6,1
SL-0603,ZONE-D,79.5,2
SL-0604,ZONE-E,73.0,0
SL-0605,ZONE-A,72.31,0
SL-0606,ZONE-B,82.17,8
SL-0607,ZONE-C,64.74,1
SL-0608,ZONE-D,73.11,1
SL-0609,ZONE-E,73.3,0
SL-0610,ZONE-A,78.1,1
SL-0611,ZONE-B,81.4,5
SL-0612,ZONE-C,64.37,1
SL-0613,ZONE-D,78.97,3
SL-0614,ZONE-E,70.41,1
SL-0615,ZONE-A,76.85,2
SL-0616,ZONE-B,77.38,1
SL-0617,ZONE-C,71.16,0
SL-0618,ZONE-D,82.25,5
SL-0619,ZONE-E,73.02,0
SL-0620,ZONE-A,72.47,1
SL-0621,ZONE-B,81.01,6
SL-0622,ZONE-C,71.15,1
SL-0623,ZONE-D,73.04,0
SL-0624,ZONE-E,68.96,0
SL-0625,ZONE-A,71.29,0
SL-0626,ZONE-B,80.79,6
SL-0627,ZONE-C,71.41,2
SL-0628,ZONE-D,82.36,5
SL-0629,ZONE-E,69.4,1
SL-0630,ZONE-A,75.42,3
SL-0631,ZONE-B,79.23,4
SL-0632,ZONE-C,72.12,2
SL-0633,ZONE-D,82.74,5
SL-0634,ZONE-E,71.88,1
SL-0635,ZONE-A,71.88,2
SL-0636,ZONE-B,81.72,6
SL-0637,ZONE-C,69.73,2
SL-0638,ZONE-D,75.85,1
SL-0639,ZONE-E,66.01,1
SL-0640,ZONE-A,72.54,0
SL-0641,ZONE-B,79.43,1
SL-0642,ZONE-C,70.12,2
SL-0643,ZONE-D,80.18,8
SL-0644,ZONE-E,71.17,2
SL-0645,ZONE-A,72.43,0
SL-0646,ZONE-B,84.04,8
SL-0647,ZONE-C,67.11,2
SL-0648,ZONE-D,81.61,5
SL-0649,ZONE-E,67.52,1
SL-0650,ZONE-A,73.2,0
SL-0651,ZONE-B,82.44,4
SL-0652,ZONE-C,65.76,0
SL-0653,ZONE-D,74.27,1
SL-0654,ZONE-E,73.55,0
SL-0655,ZONE-A,72.57,0
SL-0656,ZONE-B,80.57,7
SL-0657,ZONE-C,64.06,0
SL-0658,ZONE-D,73.09,0
SL-0659,ZONE-E,70.1,0
SL-0660,ZONE-A,76.98,3
SL-0661,ZONE-B,79.74,3
SL-0662,ZONE-C,67.28,2
SL-0663,ZONE-D,78.0,2
SL-0664,ZONE-E,71.61,2
SL-0665,ZONE-A,73.41,0
SL-0666,ZONE-B,84.47,7
SL-0667,ZONE-C,66.65,2
SL-0668,ZONE-D,73.2,2
SL-0669,ZONE-E,74.07,2
SL-0670,ZONE-A,78.12,3
SL-0671,ZONE-B,82.37,6
SL-0672,ZONE-C,70.84,0
SL-0673,ZONE-D,80.81,7
SL-0674,ZONE-E,68.79,2
SL-0675,ZONE-A,75.69,1
SL-0676,ZONE-B,78.69,4
SL-0677,ZONE-C,70.34,2
SL-0678,ZONE-D,78.36,3
SL-0679,ZONE-E,75.31,4
SL-0680,ZONE-A,72.66,0
SL-0681,ZONE-B,83.45,3
SL-0682,ZONE-C,67.13,1
SL-0683,ZONE-D,80.51,7
SL-0684,ZONE-E,71.35,1
SL-0685,ZONE-A,70.87,2
SL-0686,ZONE-B,79.99,4
SL-0687,ZONE-C,70.83,2
SL-0688,ZONE-D,75.21,1
SL-0689,ZONE-E,70.09,1
SL-0690,ZONE-A,79.46,3
SL-0691,ZONE-B,82.04,5
SL-0692,ZONE-C,71.02,2
SL-0693,ZONE-D,74.09,1
SL-0694,ZONE-E,66.87,1
SL-0695,ZONE-A,78.49,1
SL-0696,ZONE-B,85.66,3
SL-0697,ZONE-C,70.29,1
SL-0698,ZONE-D,81.69,7
SL-0699,ZONE-E,71.2,2
SL-0700,ZONE-A,75.87,4
SL-0701,ZONE-B,80.33,5
SL-0702,ZONE-C,68.16,0
SL-0703,ZONE-D,82.35,3
SL-0704,ZONE-E,70.8,1
SL-0705,ZONE-A,71.82,1
SL-0706,ZONE-B,82.17,4
SL-0707,ZONE-C,71.12,1
SL-0708,ZONE-D,81.31,3
SL-0709,ZONE-E,68.18,0
SL-0710,ZONE-A,73.61,2
SL-0711,ZONE-B,83.73,3
SL-0712,ZONE-C,65.16,2
SL-0713,ZONE-D,82.02,7
SL-0714,ZONE-E,69.73,1
SL-0715,ZONE-A,75.45,3
SL-0716,ZONE-B,86.21,5
SL-0717,ZONE-C,68.95,2
SL-0718,ZONE-D,80.34,7
SL-0719,ZONE-E,75.14,2
SL-0720,ZONE-A,71.0,1
SL-0721,ZONE-B,85.27,8
SL-0722,ZONE-C,71.26,2
SL-0723,ZONE-D,75.09,3
SL-0724,ZONE-E,68.22,2
SL-0725,ZONE-A,75.87,1
SL-0726,ZONE-B,86.0,8
SL-0727,ZONE-C,64.28,0
SL-0728,ZONE-D,76.83,4
SL-0729,ZONE-E,74.17,1
SL-0730,ZONE-A,79.18,4
SL-0731,ZONE-B,80.1,5
SL-0732,ZONE-C,67.89,1
SL-0733,ZONE-D,78.23,4
SL-0734,ZONE-E,72.86,1
