neighborhood_id,name,boundary,population
NH-011,Yelahanka,"POLYGON ((77.55485748004857 12.8552337507823, 77.55141120128542 12.845661534418472, 77.57301656612246 12.861286036000799, 77.55639984015797 12.86005062903955, 77.55320548291738 12.840003537056408, 77.55485748004857 12.8552337507823))",193017
NH-012,Hebbal,"POLYGON ((77.59400414691079 12.857939249380696, 77.60157347648862 12.865447414866475, 77.60345748164625 12.860516028140927, 77.60326809361773 12.842096699355132, 77.58096009157225 12.861810346766653, 77.59060544125126 12.842929194229416, 77.59400414691079 12.857939249380696))",142632
NH-013,Marathahalli,"POLYGON ((77.61646264299229 12.857390400610686, 77.62436229444731 12.856873272246503, 77.62266428199253 12.849505767602063, 77.60392258681816 12.85993536232447, 77.6129988905094 12.847716661970288, 77.6091873593166 12.866888458114413, 77.61646264299229 12.857390400610686))",119226
NH-014,Bellandur,"POLYGON ((77.62416030011248 12.868580822930763, 77.63910577114635 12.86162558922866, 77.63482748392951 12.870290301534766, 77.64572502141941 12.855163002608037, 77.6435884930542 12.86399496657722, 77.6276058684381 12.85493195176915, 77.62870687818565 12.849450866997445, 77.6349717900722 12.865654888992557, 77.62416030011248 12.868580822930763))",127924
NH-015,Sarjapur,"POLYGON ((77.65151343708321 12.83777340370654, 77.66822057468912 12.84549918058729, 77.6598266932536 12.83847333594768, 77.6520560374607 12.853823584353131, 77.65166952677372 12.843702720734253, 77.65151343708321 12.83777340370654))",170367
NH-016,JP Nagar,"POLYGON ((77.68637949514692 12.845913728964115, 77.6734830408304 12.853765964202264, 77.68253863142326 12.864849710098866, 77.6907500485217 12.844132928440471, 77.67672503815893 12.859727016131528, 77.69549615929942 12.852814337689775, 77.67552401540561 12.844681075218997, 77.68255969096904 12.857398418463475, 77.68637949514692 12.845913728964115))",83642
NH-017,Basavanagudi,"POLYGON ((77.51449199435135 12.888533045033014, 77.52304367406742 12.89532434358769, 77.50567615456794 12.900602085253233, 77.51760174460227 12.89568937187504, 77.50608496839037 12.906281511949125, 77.51398259031558 12.887334680946182, 77.50715344015863 12.893931568276356, 77.51449199435135 12.888533045033014))",64860
NH-018,Richmond Town,"POLYGON ((77.54459464380581 12.893907095121321, 77.54038081370942 12.900536389573118, 77.52921082780364 12.89866698120133, 77.53112358513887 12.905109640534572, 77.54451867931513 12.885739814829293, 77.54605251441518 12.91059938030316, 77.55038138999956 12.885761493426134, 77.54459464380581 12.893907095121321))",125902
NH-019,Frazer Town,"POLYGON ((77.55312621121737 12.904239352430555, 77.5657865934688 12.898034635991332, 77.57204061836804 12.87897103647247, 77.54949093863947 12.879168876340172, 77.56842316571584 12.894474533133469, 77.57019684286455 12.905458615907909, 77.56876153646019 12.893535293292608, 77.55312621121737 12.904239352430555))",69108
NH-020,Shivajinagar,"POLYGON ((77.59930071498357 12.879766769211308, 77.58803794091601 12.883941162364309, 77.59646476355802 12.89294520420727, 77.5789102028825 12.877260488323966, 77.58336698729835 12.88555728632667, 77.5803963597681 12.875666566886496, 77.59930071498357 12.879766769211308))",191611
NH-021,Sadashivanagar,"POLYGON ((77.60714735226107 12.89767952585718, 77.60193844160993 12.892440328668012, 77.60479587734329 12.8956494757846, 77.61810498821905 12.884242920673165, 77.61913410260891 12.888579371517428, 77.60714735226107 12.89767952585718))",61069
NH-022,RT Nagar,"POLYGON ((77.65041159252961 12.880533367643821, 77.65170370418053 12.876124038228697, 77.63282229325803 12.889930870739278, 77.64687819695497 12.885119384682842, 77.63968996363482 12.88184108219947, 77.6478575417451 12.878574574502386, 77.65041159252961 12.880533367643821))",168141
NH-023,Kalyan Nagar,"POLYGON ((77.67358266437981 12.897276366396534, 77.65923998917799 12.907211110747241, 77.66383501119803 12.896010707552565, 77.67545970714426 12.886051467810729, 77.66084170597922 12.892767213250682, 77.67358266437981 12.897276366396534))",163395
NH-024,KR Puram,"POLYGON ((77.68077070236414 12.887178071628115, 77.69072147188169 12.899388408521046, 77.7 12.897767908023855, 77.7 12.89196760766664, 77.69195024583006 12.89440218052076, 77.68770545950301 12.90369797514045, 77.68077070236414 12.887178071628115))",196275
NH-025,Mahadevapura,"POLYGON ((77.52231518333096 12.916397094403214, 77.5031520698091 12.923305213025412, 77.5197152935377 12.916430994972222, 77.52503998706496 12.934476852587862, 77.51979750468236 12.922827007213254, 77.51655258491597 12.914742390694933, 77.52231518333096 12.916397094403214))",69403
NH-026,Bommanahalli,"POLYGON ((77.54257123591807 12.937458651685965, 77.53312881445073 12.925591192540155, 77.53268595444112 12.938252240015409, 77.55251330830399 12.919353727082145, 77.54811791010586 12.925081793130134, 77.54178529930701 12.942030834330838, 77.5448502160575 12.93944942242969, 77.54086903252674 12.926459892003006, 77.54257123591807 12.937458651685965))",125763
NH-027,Hoodi,"POLYGON ((77.55129383986818 12.91827175819011, 77.55663317431627 12.925987093218177, 77.54883200385287 12.927883867730236, 77.56770388678233 12.922837476706649, 77.55817663166725 12.932848995977464, 77.56048557270323 12.929319275388105, 77.56696643318911 12.929514556578548, 77.56993676788444 12.929313722582247, 77.55129383986818 12.91827175819011))",196173
NH-028,Brookefield,"POLYGON ((77.60304907730219 12.914130578376247, 77.59565290816742 12.934160313529535, 77.60309178031923 12.91662574268409, 77.60016843944656 12.91926501911709, 77.58967458833357 12.91864182304389, 77.5936400815066 12.939885247011135, 77.58244222798382 12.919396426085676, 77.58132183472023 12.925272697581836, 77.60304907730219 12.914130578376247))",127620
NH-029,Varthur,"POLYGON ((77.61331886180395 12.933180039089741, 77.62367289135383 12.92091974636293, 77.62651237323175 12.923438544867173, 77.61753360068265 12.940626038723314, 77.59995211470617 12.921302465240036, 77.61331886180395 12.933180039089741))",114634
NH-030,Kadugodi,"POLYGON ((77.65009960810335 12.916612885535454, 77.65113861766888 12.918862624125957, 77.63398963967195 12.913125455219843, 77.64145091984766 12.916322345151425, 77.64510083394019 12.929309397054249, 77.65422015926201 12.926676811155437, 77.64918192733931 12.921980509853071, 77.65009960810335 12.916612885535454))",77019
NH-031,Nagarbhavi,"POLYGON ((77.65899653930114 12.924416473127152, 77.65340943920452 12.917845786405508, 77.65477467269862 12.936925401570587, 77.6651122935942 12.918613368015148, 77.66337093335152 12.917153519986057, 77.67589444617052 12.926470831751642, 77.6525856719848 12.931681365712087, 77.65899653930114 12.924416473127152))",122538
NH-032,Peenya,"POLYGON ((77.6831586894569 12.923299206524918, 77.7 12.94744193828602, 77.69389470861191 12.926528624054873, 77.68290509540303 12.929746670849859, 77.69745281662026 12.93226636225755, 77.7 12.934594188355337, 77.67951142804009 12.93786543147409, 77.7 12.921847413783286, 77.6831586894569 12.923299206524918))",161502
NH-033,Vijayanagar,"POLYGON ((77.51450942140164 12.961580291683322, 77.52095872756823 12.95861787825547, 77.52019979997425 12.963517430009174, 77.51444946597614 12.962095792416415, 77.5019579882971 12.960930211071227, 77.51450942140164 12.961580291683322))",66781
NH-034,Yeshwantpur,"POLYGON ((77.52872622928042 12.974561412749113, 77.54179523372984 12.970550340793203, 77.5406767150853 12.959068840489094, 77.5244157300082 12.965335478493008, 77.54932545109153 12.971609242585712, 77.52872622928042 12.974561412749113))",74827
NH-035,Mathikere,"POLYGON ((77.55595677476482 12.959448938017507, 77.56236187363797 12.958055295905234, 77.55267641904251 12.961689750252535, 77.56198418906622 12.96201095863248, 77.56743896113001 12.9593509916571, 77.5671428743168 12.96968060674941, 77.55595677476482 12.959448938017507))",145223
NH-036,Jalahalli,"POLYGON ((77.58740515757388 12.954001623130598, 77.58942595258588 12.968490990375797, 77.5824857679929 12.963681089774195, 77.58687349094627 12.956350786993813, 77.59901463904903 12.954868052536252, 77.58740515757388 12.954001623130598))",62456
NH-037,Rajajinagar,"POLYGON ((77.60246333938129 12.970649106493658, 77.60396877570646 12.959187775240657, 77.61741401565104 12.957536982815933, 77.60329886593362 12.977120745562345, 77.60848892943496 12.974481725098006, 77.60867499987326 12.95544246298658, 77.61319425331625 12.957292880497112, 77.60246333938129 12.970649106493658))",195393
NH-038,Kammanahalli,"POLYGON ((77.63887488931886 12.96339367147183, 77.63703274779198 12.977542007146807, 77.63082005191723 12.985596222622197, 77.62656889946561 12.985271952114228, 77.64095108511927 12.979622672156554, 77.64342104308763 12.9740957004578, 77.63887488931886 12.96339367147183))",158343
NH-039,Banaswadi,"POLYGON ((77.66131901156214 12.97148792566846, 77.66776928631174 12.968989711275126, 77.65736755183626 12.953285446712085, 77.6559464760157 12.962775746746484, 77.6747837551704 12.972393231083249, 77.66328942131759 12.971287441277477, 77.66131901156214 12.97148792566846))",95080
NH-040,Rammurthy Nagar,"POLYGON ((77.6773249799966 12.96425067591102, 77.6793388265576 12.976142283809487, 77.67341678024816 12.96089735593645, 77.68658122560684 12.965740935214312, 77.6781295623691 12.978892907560917, 77.69858644242225 12.96059891711877, 77.69388549254116 12.96715326095153, 77.69259368520254 12.968082771074812, 77.6773249799966 12.96425067591102))",86565
NH-041,CV Raman Nagar,"POLYGON ((77.51931570267774 13.015087118110705, 77.52245906826693 12.994158918347757, 77.51240088082426 12.999312380348538, 77.5126779128668 13.00412605894962, 77.50749025593048 13.011283184990136, 77.5209741210024 13.00717027417172, 77.5270401407167 13.0084097992065, 77.51931570267774 13.015087118110705))",64993
NH-042,Domlur,"POLYGON ((77.5289632912635 13.010863526452109, 77.52756130763157 13.000616666361632, 77.542048630203 13.006367675036255, 77.53058953331046 13.016466745848735, 77.5370250243762 12.998627139742316, 77.54743589393205 13.00155012919837, 77.52530357100625 13.020227299146168, 77.5289632912635 13.010863526452109))",166459
NH-043,Ulsoor,"POLYGON ((77.55712547450194 13.007053807505466, 77.5577144241953 13.002857863312121, 77.56907116042845 12.997292330718686, 77.55867130941384 13.001614596607988, 77.55194692608623 12.98966050644195, 77.55737926838712 12.993282004414493, 77.56017833071115 13.004409261407213, 77.55725906841475 12.99284300416554, 77.55712547450194 13.007053807505466))",156714
NH-044,Cox Town,"POLYGON ((77.58924328920988 13.008382004517435, 77.59600868735974 13.008169458812652, 77.58925914497392 12.98770900773681, 77.59844389034522 12.993795041787855, 77.60221820566912 13.00543319377995, 77.59692774739028 12.993356352955388, 77.59190882117376 13.00704226978392, 77.58305130891087 12.998850156519158, 77.58924328920988 13.008382004517435))",181026
NH-045,Pulakeshi Nagar,"POLYGON ((77.60582982915233 13.006115498150333, 77.60506166547455 13.001902594255364, 77.61386242128036 13.002779681847398, 77.61235392665739 12.99507444544367, 77.61209783710085 13.010462654015651, 77.61378525025054 13.002359270225778, 77.6065093520445 13.0141783915057, 77.60582982915233 13.006115498150333))",187857
NH-046,Bannerghatta,"POLYGON ((77.62595567000683 12.984729526621184, 77.62518926396741 12.992721201487626, 77.62872282761111 12.99857498848453, 77.64149628082397 12.990031314047906, 77.6430479180073 12.992657133598188, 77.64582205058855 12.990917459765475, 77.62595567000683 12.984729526621184))",107355
NH-047,Begur,"POLYGON ((77.66789052528081 13.00538071535039, 77.64950527446653 13.007403616643241, 77.6454911652237 13.022082141379379, 77.66200369544437 13.012868143560206, 77.66352749878772 13.02581507435847, 77.66475605353463 13.013569921055435, 77.66115925588076 13.000064488873749, 77.66697722225334 13.002872148981243, 77.66789052528081 13.00538071535039))",137034
NH-048,Arekere,"POLYGON ((77.68720717543543 12.996704008852655, 77.67088785254155 13.013428529039016, 77.68624838979517 13.005946849299125, 77.69245803378539 12.994987884584836, 77.6838367164274 13.013283914962674, 77.68430032725895 13.00949533813942, 77.6938617433346 13.012728278877418, 77.68720717543543 12.996704008852655))",55063
NH-049,Hulimavu,"POLYGON ((77.51919554828542 13.053461855098956, 77.52032522261081 13.045690344149193, 77.51167882640591 13.049437031528345, 77.51302352282441 13.039460661852985, 77.50737093149652 13.043599791282674, 77.51919554828542 13.053461855098956))",67167
NH-050,Uttarahalli,"POLYGON ((77.54272937875629 13.050330936473575, 77.53261685061709 13.035091199037947, 77.5386947939095 13.040406155593667, 77.54559481889014 13.05060332759735, 77.54442670644231 13.0403929289979, 77.54272937875629 13.050330936473575))",125672
