light_id,season,avg_temperature_c,rainfall_mm,failure_risk_score,predicted_failure_date
SL-0036,monsoon,25.58,173.48,0.86,2025-12-09
SL-0036,summer,35.13,23.76,0.75,2025-12-22
SL-0036,winter,19.54,6.76,0.48,
SL-0037,monsoon,25.44,229.05,0.82,2026-01-02
SL-0037,summer,35.67,26.63,0.6,2026-02-05
SL-0037,winter,21.51,7.84,0.38,
SL-0038,monsoon,26.88,165.56,0.86,2025-12-16
SL-0038,summer,34.92,19.95,0.81,2025-12-12
SL-0038,winter,18.82,5.1,0.35,
SL-0039,monsoon,25.35,216.24,0.99,2025-12-04
SL-0039,summer,36.43,16.02,0.84,2025-12-10
SL-0039,winter,24.52,7.41,0.39,
SL-0040,monsoon,25.49,175.03,0.99,2025-12-04
SL-0040,summer,37.88,33.72,0.67,2025-12-21
SL-0040,winter,22.25,11.15,0.41,
SL-0041,monsoon,26.27,163.17,0.87,2025-12-22
SL-0041,summer,36.41,22.45,0.82,2026-01-03
SL-0041,winter,18.67,17.92,0.52,2026-02-25
SL-0042,monsoon,29.0,217.54,0.94,2025-12-07
SL-0042,summer,37.89,30.75,0.65,2026-01-03
SL-0042,winter,21.92,10.42,0.47,
SL-0043,monsoon,25.52,154.96,0.99,2025-12-04
SL-0043,summer,36.43,38.71,0.73,2026-01-07
SL-0043,winter,24.42,7.45,0.54,2026-01-08
SL-0044,monsoon,27.08,195.54,0.88,2025-12-12
SL-0044,summer,36.62,17.54,0.69,2025-12-09
SL-0044,winter,21.29,10.82,0.48,
SL-0045,monsoon,26.92,221.22,0.87,2025-12-06
SL-0045,summer,32.33,34.65,0.6,2025-12-19
SL-0045,winter,22.07,13.38,0.35,
SL-0046,monsoon,29.6,232.39,0.92,
SL-0046,summer,35.26,28.49,0.66,
SL-0046,winter,18.4,18.8,0.44,
SL-0047,monsoon,25.12,225.09,0.92,2025-12-09
SL-0047,summer,35.28,24.74,0.68,2025-12-14
SL-0047,winter,19.7,7.13,0.49,
SL-0048,monsoon,27.62,191.31,0.96,2025-12-07
SL-0048,summer,36.88,15.82,0.7,2026-01-21
SL-0048,winter,18.16,18.18,0.44,
SL-0049,monsoon,27.45,156.08,0.9,2025-12-20
SL-0049,summer,35.51,26.2,0.73,2026-01-13
SL-0049,winter,22.05,17.27,0.38,
SL-0050,monsoon,26.06,232.04,0.82,2025-12-15
SL-0050,summer,33.59,26.07,0.59,2026-01-02
SL-0050,winter,22.9,5.97,0.45,
SL-0051,monsoon,25.33,188.73,0.74,2026-01-17
SL-0051,summer,37.48,28.16,0.7,2025-12-15
SL-0051,winter,18.51,16.35,0.42,
SL-0052,monsoon,26.85,195.71,0.86,2025-12-27
SL-0052,summer,35.73,36.96,0.79,2025-12-19
SL-0052,winter,20.11,16.73,0.41,
SL-0053,monsoon,29.11,237.44,0.99,2025-12-03
SL-0053,summer,32.74,18.3,0.73,2025-12-15
SL-0053,winter,21.01,10.8,0.37,
SL-0054,monsoon,28.67,214.37,0.99,2025-12-04
SL-0054,summer,33.5,32.6,0.84,2025-12-25
SL-0054,winter,21.23,20.0,0.51,2025-12-30
SL-0055,monsoon,25.42,231.8,0.97,2025-12-06
SL-0055,summer,35.04,24.79,0.67,2025-12-28
SL-0055,winter,22.9,13.06,0.31,
SL-0056,monsoon,29.99,216.41,0.86,2025-12-08
SL-0056,summer,37.36,20.98,0.81,2025-12-07
SL-0056,winter,19.88,6.14,0.54,2025-12-31
SL-0057,monsoon,27.83,208.03,0.89,2025-12-17
SL-0057,summer,37.46,20.16,0.66,2026-02-02
SL-0057,winter,19.54,14.43,0.49,
SL-0058,monsoon,27.78,220.53,0.89,2025-12-09
SL-0058,summer,37.41,16.61,0.74,2025-12-21
SL-0058,winter,22.61,6.89,0.41,
SL-0059,monsoon,26.81,226.46,0.99,2025-12-03
SL-0059,summer,35.15,38.15,0.9,2025-12-13
SL-0059,winter,22.71,15.54,0.58,2025-12-21
SL-0060,monsoon,29.0,198.49,0.89,
SL-0060,summer,34.1,16.94,0.75,
SL-0060,winter,20.05,9.54,0.52,
SL-0061,monsoon,26.65,164.71,0.99,2025-12-04
SL-0061,summer,33.9,35.53,0.85,2025-12-21
SL-0061,winter,20.26,14.78,0.48,
SL-0062,monsoon,26.97,217.43,0.85,2025-12-12
SL-0062,summer,33.32,24.74,0.81,2025-12-20
SL-0062,winter,18.58,14.97,0.43,
SL-0063,monsoon,26.51,199.6,0.9,2025-12-19
SL-0063,summer,37.54,15.47,0.65,2026-01-01
SL-0063,winter,20.49,6.57,0.37,
SL-0064,monsoon,28.47,197.87,0.98,2025-12-03
SL-0064,summer,37.12,27.17,0.67,2025-12-11
SL-0064,winter,22.57,14.1,0.41,
SL-0065,monsoon,27.05,212.29,0.89,2025-12-22
SL-0065,summer,36.02,28.41,0.66,2026-01-24
SL-0065,winter,18.2,13.19,0.43,
SL-0066,monsoon,26.09,228.92,0.76,2026-01-01
SL-0066,summer,34.04,24.13,0.63,2026-01-14
SL-0066,winter,20.87,12.46,0.34,
SL-0067,monsoon,26.5,172.88,0.89,2025-12-12
SL-0067,summer,37.59,16.88,0.69,2025-12-22
SL-0067,winter,18.54,10.44,0.5,
SL-0068,monsoon,29.04,221.96,0.82,2025-12-13
SL-0068,summer,37.26,36.16,0.59,2025-12-07
SL-0068,winter,22.37,6.83,0.32,
SL-0069,monsoon,25.94,249.85,0.99,2025-12-04
SL-0069,summer,34.13,20.01,0.75,2025-12-26
SL-0069,winter,19.22,7.11,0.56,2025-12-18
SL-0070,monsoon,27.78,185.4,0.81,2025-12-16
SL-0070,summer,32.69,17.76,0.57,2026-01-09
SL-0070,winter,24.54,9.65,0.43,
SL-0071,monsoon,29.56,238.17,0.89,2025-12-22
SL-0071,summer,35.89,27.85,0.68,2025-12-30
SL-0071,winter,19.19,16.71,0.39,
SL-0072,monsoon,27.27,231.46,0.75,
SL-0072,summer,33.61,35.64,0.62,
SL-0072,winter,19.78,6.16,0.42,
SL-0073,monsoon,28.47,205.4,0.99,2025-12-04
SL-0073,summer,36.57,21.35,0.84,2025-12-29
SL-0073,winter,21.72,5.03,0.57,2025-12-07
SL-0074,monsoon,29.36,217.38,0.82,2025-12-24
SL-0074,summer,32.71,19.98,0.74,2026-01-12
SL-0074,winter,19.69,13.92,0.41,
SL-0075,monsoon,28.9,187.79,0.98,2025-12-06
SL-0075,summer,32.95,18.12,0.76,2025-12-07
SL-0075,winter,20.63,9.95,0.48,
SL-0076,monsoon,27.81,212.28,0.92,2025-12-09
SL-0076,summer,37.43,29.28,0.71,2026-01-03
SL-0076,winter,21.86,18.45,0.38,
SL-0077,monsoon,25.8,188.24,0.88,2025-12-23
SL-0077,summer,34.79,23.26,0.73,2025-12-31
SL-0077,winter,19.61,17.37,0.45,
SL-0078,monsoon,25.95,156.31,0.87,2025-12-07
SL-0078,summer,34.21,23.62,0.69,2025-12-24
SL-0078,winter,22.87,16.25,0.36,
SL-0079,monsoon,27.23,194.46,0.95,2025-12-10
SL-0079,summer,37.82,17.58,0.84,2025-12-04
SL-0079,winter,20.2,8.47,0.53,2025-12-14
SL-0080,monsoon,28.16,196.69,0.99,
SL-0080,summer,37.26,32.17,0.83,
SL-0080,winter,20.55,12.46,0.42,
SL-0081,monsoon,26.4,169.48,0.86,2025-12-28
SL-0081,summer,35.91,15.3,0.84,2025-12-16
SL-0081,winter,19.41,19.99,0.49,
SL-0082,monsoon,27.37,227.97,0.98,
SL-0082,summer,35.89,20.03,0.68,
SL-0082,winter,22.9,16.28,0.41,
SL-0083,monsoon,27.36,184.07,0.87,2025-12-04
SL-0083,summer,32.55,16.45,0.79,2026-01-03
SL-0083,winter,22.05,12.93,0.5,
SL-0084,monsoon,27.69,162.77,0.91,2025-12-04
SL-0084,summer,33.11,27.63,0.72,2026-01-17
SL-0084,winter,22.04,9.23,0.54,2026-02-04
SL-0085,monsoon,28.96,228.44,0.99,2025-12-03
SL-0085,summer,34.99,15.75,0.74,2026-01-02
SL-0085,winter,21.77,16.82,0.5,
SL-0086,monsoon,29.32,151.24,0.98,2025-12-04
SL-0086,summer,34.19,36.96,0.91,2025-12-10
SL-0086,winter,23.58,12.61,0.51,2025-12-12
SL-0087,monsoon,25.92,247.12,0.99,2025-12-04
SL-0087,summer,32.41,16.26,0.74,2025-12-25
SL-0087,winter,21.23,15.46,0.46,
SL-0088,monsoon,25.26,168.89,0.9,2025-12-10
SL-0088,summer,37.52,29.32,0.75,2026-01-07
SL-0088,winter,18.84,9.31,0.54,2026-01-16
SL-0089,monsoon,28.37,191.7,0.99,2025-12-04
SL-0089,summer,34.02,18.95,0.66,2026-01-17
SL-0089,winter,18.1,10.23,0.41,
SL-0090,monsoon,26.63,214.39,0.93,2025-12-05
SL-0090,summer,37.63,16.08,0.66,2026-01-27
SL-0090,winter,20.82,13.23,0.42,
SL-0091,monsoon,27.74,230.49,0.99,2025-12-03
SL-0091,summer,34.12,24.09,0.69,2026-01-09
SL-0091,winter,23.21,7.13,0.53,2026-01-03
SL-0092,monsoon,29.98,248.62,0.99,2025-12-03
SL-0092,summer,33.84,35.93,0.67,2025-12-28
SL-0092,winter,18.21,7.81,0.44,
SL-0093,monsoon,29.24,176.33,0.99,2025-12-04
SL-0093,summer,37.3,32.27,0.79,2025-12-05
SL-0093,winter,18.07,14.38,0.44,
SL-0094,monsoon,27.52,186.26,0.9,2025-12-07
SL-0094,summer,36.65,16.81,0.76,2026-01-04
SL-0094,winter,18.04,7.64,0.51,2026-02-03
SL-0095,monsoon,29.55,191.04,0.99,2025-12-04
SL-0095,summer,33.23,28.62,0.67,2026-01-13
SL-0095,winter,19.81,15.86,0.49,
SL-0096,monsoon,27.42,232.26,0.78,2025-12-19
SL-0096,summer,34.0,39.83,0.7,2026-01-15
SL-0096,winter,19.51,7.69,0.42,
SL-0097,monsoon,27.37,221.46,0.98,2025-12-03
SL-0097,summer,36.08,35.86,0.79,2025-12-24
SL-0097,winter,18.55,14.07,0.42,
SL-0098,monsoon,26.31,188.1,0.91,2025-12-09
SL-0098,summer,37.45,34.08,0.84,2025-12-11
SL-0098,winter,22.52,18.25,0.43,
SL-0099,monsoon,28.14,211.24,0.83,2025-12-18
SL-0099,summer,32.22,29.94,0.58,2026-02-15
SL-0099,winter,20.26,15.86,0.29,
SL-0100,monsoon,29.64,228.76,0.87,2025-12-14
SL-0100,summer,32.86,35.43,0.62,2025-12-11
SL-0100,winter,21.82,6.88,0.43,
SL-0101,monsoon,25.92,246.65,0.86,2025-12-14
SL-0101,summer,34.55,31.48,0.78,2025-12-09
SL-0101,winter,18.71,9.65,0.47,
SL-0102,monsoon,27.04,228.82,0.99,2025-12-04
SL-0102,summer,35.37,26.48,0.76,2025-12-05
SL-0102,winter,19.02,18.58,0.4,
SL-0103,monsoon,28.13,169.22,0.99,2025-12-04
SL-0103,summer,32.76,35.89,0.82,2025-12-30
SL-0103,winter,20.96,16.7,0.4,
SL-0104,monsoon,29.46,180.25,0.99,2025-12-03
SL-0104,summer,34.91,34.94,0.74,2025-12-20
SL-0104,winter,21.65,13.46,0.38,
SL-0105,monsoon,26.25,210.88,0.92,2025-12-03
SL-0105,summer,36.87,25.66,0.71,2026-01-19
SL-0105,winter,22.9,15.19,0.46,
SL-0106,monsoon,29.77,206.2,0.91,
SL-0106,summer,37.84,27.61,0.82,
SL-0106,winter,20.9,10.59,0.44,
SL-0107,monsoon,26.23,185.76,0.86,2025-12-14
SL-0107,summer,33.71,23.52,0.66,2025-12-28
SL-0107,winter,18.22,10.31,0.37,
SL-0108,monsoon,27.1,186.65,0.86,2025-12-06
SL-0108,summer,32.2,32.23,0.66,2026-01-19
SL-0108,winter,19.93,10.04,0.4,
SL-0109,monsoon,28.08,225.86,0.99,2025-12-03
SL-0109,summer,37.95,39.46,0.74,2026-01-11
SL-0109,winter,18.13,16.69,0.35,
SL-0110,monsoon,28.16,244.13,0.91,2025-12-10
SL-0110,summer,35.38,21.04,0.72,2025-12-10
SL-0110,winter,22.57,15.29,0.39,
SL-0111,monsoon,28.78,224.17,0.99,2025-12-04
SL-0111,summer,36.77,26.43,0.65,2025-12-22
SL-0111,winter,19.59,5.83,0.53,2026-01-14
SL-0112,monsoon,27.87,219.95,0.99,2025-12-03
SL-0112,summer,32.6,24.31,0.69,2025-12-23
SL-0112,winter,23.34,15.71,0.49,
SL-0113,monsoon,27.87,168.64,0.84,2025-12-23
SL-0113,summer,32.09,29.83,0.72,2025-12-11
SL-0113,winter,20.73,18.14,0.42,
SL-0114,monsoon,26.71,239.65,0.99,2025-12-03
SL-0114,summer,32.24,19.63,0.83,2025-12-25
SL-0114,winter,20.77,14.28,0.46,
SL-0115,monsoon,25.97,178.76,0.9,2025-12-06
SL-0115,summer,36.88,23.17,0.63,2025-12-14
SL-0115,winter,21.45,15.61,0.38,
SL-0116,monsoon,25.84,195.64,0.93,2025-12-07
SL-0116,summer,34.76,26.0,0.72,2026-01-22
SL-0116,winter,20.82,19.38,0.35,
SL-0117,monsoon,29.33,177.7,0.89,2025-12-18
SL-0117,summer,35.98,24.75,0.75,2025-12-21
SL-0117,winter,19.8,13.84,0.54,2025-12-25
SL-0118,monsoon,27.21,189.72,0.9,2025-12-13
SL-0118,summer,32.19,25.18,0.84,2025-12-09
SL-0118,winter,19.26,17.39,0.47,
SL-0119,monsoon,28.61,192.92,0.95,2025-12-09
SL-0119,summer,37.69,37.6,0.65,2026-01-02
SL-0119,winter,20.54,15.87,0.36,
SL-0120,monsoon,26.97,176.1,0.94,2025-12-04
SL-0120,summer,35.0,16.07,0.76,2025-12-23
SL-0120,winter,24.89,12.87,0.4,
SL-0121,monsoon,27.88,201.0,0.99,2025-12-03
SL-0121,summer,33.19,20.51,0.89,2025-12-10
SL-0121,winter,18.39,18.49,0.61,2026-01-22
SL-0122,monsoon,28.38,232.69,0.93,
SL-0122,summer,35.96,32.12,0.64,
SL-0122,winter,19.31,12.63,0.29,
SL-0123,monsoon,29.18,169.32,0.89,2025-12-05
SL-0123,summer,33.0,25.72,0.74,2026-01-12
SL-0123,winter,20.22,6.64,0.46,
SL-0124,monsoon,29.34,197.95,0.99,2025-12-03
SL-0124,summer,32.59,30.85,0.91,2025-12-17
SL-0124,winter,22.51,15.34,0.58,2026-02-03
SL-0125,monsoon,27.12,244.64,0.97,2025-12-07
SL-0125,summer,33.01,29.8,0.85,2025-12-18
SL-0125,winter,19.59,8.5,0.63,2026-01-29
SL-0126,monsoon,29.23,233.05,0.97,2025-12-04
SL-0126,summer,36.11,21.34,0.78,2025-12-22
SL-0126,winter,21.95,18.67,0.49,
SL-0127,monsoon,29.31,168.25,0.97,2025-12-05
SL-0127,summer,32.98,38.71,0.69,2025-12-29
SL-0127,winter,19.27,9.88,0.36,
SL-0128,monsoon,29.94,228.03,0.99,2025-12-03
SL-0128,summer,37.48,21.7,0.75,2026-01-11
SL-0128,winter,19.13,18.96,0.52,2026-01-05
SL-0129,monsoon,25.02,180.11,0.93,2025-12-14
SL-0129,summer,34.56,17.52,0.73,2026-01-11
SL-0129,winter,20.34,12.83,0.32,
SL-0130,monsoon,25.9,188.06,0.99,2025-12-03
SL-0130,summer,34.52,31.16,0.8,2025-12-25
SL-0130,winter,21.86,13.27,0.51,2026-01-10
SL-0131,monsoon,29.31,168.21,0.91,2025-12-09
SL-0131,summer,33.93,35.08,0.71,2025-12-30
SL-0131,winter,24.42,13.7,0.5,
SL-0132,monsoon,27.62,228.31,0.97,2025-12-03
SL-0132,summer,34.54,19.99,0.63,2026-01-12
SL-0132,winter,20.99,13.03,0.49,
SL-0133,monsoon,27.69,242.62,0.9,
SL-0133,summer,34.79,30.09,0.77,
SL-0133,winter,20.43,14.62,0.4,
SL-0134,monsoon,27.59,207.08,0.93,2025-12-04
SL-0134,summer,33.21,38.0,0.68,2026-01-10
SL-0134,winter,21.16,6.72,0.46,
SL-0135,monsoon,25.67,199.29,0.99,2025-12-03
SL-0135,summer,36.48,36.54,0.76,2026-01-06
SL-0135,winter,19.62,19.79,0.54,2026-02-11
SL-0136,monsoon,25.91,166.65,0.99,2025-12-03
SL-0136,summer,35.35,37.97,0.71,2026-01-19
SL-0136,winter,24.81,18.81,0.48,
SL-0137,monsoon,27.46,206.4,0.8,
SL-0137,summer,33.12,28.57,0.71,
SL-0137,winter,21.6,6.98,0.36,
SL-0138,monsoon,25.86,213.66,0.86,2025-12-26
SL-0138,summer,32.29,26.26,0.68,2025-12-11
SL-0138,winter,18.3,8.76,0.47,
SL-0139,monsoon,29.05,203.53,0.93,2025-12-14
SL-0139,summer,35.69,15.0,0.81,2025-12-28
SL-0139,winter,22.11,5.83,0.33,
SL-0140,monsoon,25.4,221.77,0.97,2025-12-04
SL-0140,summer,33.72,21.65,0.67,2025-12-18
SL-0140,winter,19.82,13.27,0.38,
SL-0141,monsoon,29.58,233.28,0.99,2025-12-03
SL-0141,summer,36.58,39.01,0.72,2026-01-01
SL-0141,winter,21.47,13.62,0.44,
SL-0142,monsoon,27.79,238.8,0.99,2025-12-04
SL-0142,summer,32.71,34.45,0.84,2025-12-07
SL-0142,winter,22.49,19.05,0.35,
SL-0143,monsoon,26.48,193.48,0.93,2025-12-05
SL-0143,summer,36.53,20.67,0.7,2025-12-11
SL-0143,winter,19.33,19.31,0.43,
SL-0144,monsoon,25.66,223.02,0.99,2025-12-03
SL-0144,summer,37.7,16.8,0.81,2025-12-30
SL-0144,winter,18.62,13.78,0.42,
SL-0145,monsoon,27.04,162.81,0.93,2025-12-05
SL-0145,summer,37.89,30.45,0.69,2025-12-25
SL-0145,winter,21.64,18.67,0.49,
SL-0146,monsoon,27.74,174.88,0.81,2025-12-11
SL-0146,summer,35.24,18.9,0.61,2026-01-08
SL-0146,winter,21.98,9.83,0.36,
SL-0147,monsoon,27.44,217.67,0.98,2025-12-04
SL-0147,summer,34.21,39.5,0.68,2026-01-16
SL-0147,winter,22.9,12.06,0.43,
SL-0148,monsoon,26.31,237.76,0.82,2025-12-24
SL-0148,summer,37.31,17.83,0.74,2026-01-12
SL-0148,winter,20.52,14.12,0.39,
SL-0149,monsoon,27.94,178.87,0.97,2025-12-08
SL-0149,summer,35.58,29.81,0.64,2026-01-19
SL-0149,winter,22.88,17.66,0.35,
SL-0150,monsoon,28.23,210.75,0.97,2025-12-06
SL-0150,summer,36.29,33.13,0.79,2025-12-08
SL-0150,winter,18.78,12.6,0.37,
SL-0151,monsoon,25.47,230.46,0.99,2025-12-04
SL-0151,summer,34.39,34.58,0.88,2025-12-21
SL-0151,winter,19.19,17.67,0.53,2026-01-11
SL-0152,monsoon,28.04,173.63,0.99,2025-12-03
SL-0152,summer,36.3,18.05,0.87,2025-12-12
SL-0152,winter,24.78,17.27,0.57,2026-02-16
SL-0153,monsoon,28.41,234.96,0.99,
SL-0153,summer,33.39,23.42,0.7,
SL-0153,winter,19.88,19.03,0.43,
SL-0154,monsoon,25.24,184.92,0.99,2025-12-04
SL-0154,summer,34.82,19.84,0.94,2025-12-06
SL-0154,winter,19.92,11.11,0.63,2025-12-09
SL-0155,monsoon,26.26,187.9,0.99,2025-12-04
SL-0155,summer,33.0,30.39,0.79,2025-12-31
SL-0155,winter,21.89,11.67,0.5,
SL-0156,monsoon,26.81,237.69,0.99,2025-12-03
SL-0156,summer,32.7,21.08,0.75,2025-12-25
SL-0156,winter,21.31,7.88,0.51,2025-12-08
SL-0157,monsoon,25.87,157.29,0.99,2025-12-04
SL-0157,summer,37.17,28.25,0.72,2026-01-13
SL-0157,winter,21.47,10.81,0.44,
SL-0158,monsoon,26.64,237.77,0.94,2025-12-07
SL-0158,summer,35.41,22.67,0.78,2025-12-21
SL-0158,winter,22.54,18.21,0.41,
SL-0159,monsoon,25.53,245.46,0.98,2025-12-03
SL-0159,summer,35.73,33.35,0.64,2026-01-11
SL-0159,winter,18.23,12.11,0.46,
SL-0160,monsoon,27.28,221.18,0.99,2025-12-04
SL-0160,summer,33.43,25.31,0.82,2025-12-09
SL-0160,winter,18.57,8.37,0.43,
SL-0161,monsoon,28.83,214.86,0.88,2025-12-12
SL-0161,summer,36.07,37.68,0.75,2025-12-05
SL-0161,winter,23.76,11.83,0.46,
SL-0162,monsoon,25.48,160.84,0.87,2025-12-05
SL-0162,summer,36.23,35.51,0.7,2025-12-05
SL-0162,winter,19.21,11.76,0.51,2026-02-07
SL-0163,monsoon,29.77,205.78,0.89,2025-12-04
SL-0163,summer,37.22,30.41,0.73,2026-01-07
SL-0163,winter,24.58,7.2,0.51,2026-02-22
SL-0164,monsoon,27.89,243.49,0.82,2025-12-11
SL-0164,summer,35.91,19.92,0.71,2025-12-30
SL-0164,winter,22.83,15.31,0.4,
SL-0165,monsoon,29.39,219.22,0.99,2025-12-03
SL-0165,summer,33.44,26.61,0.71,2026-01-01
SL-0165,winter,22.82,13.99,0.5,
SL-0166,monsoon,25.2,209.38,0.85,2025-12-11
SL-0166,summer,36.71,31.36,0.65,2025-12-27
SL-0166,winter,18.32,15.51,0.44,
SL-0167,monsoon,29.83,214.36,0.99,2025-12-04
SL-0167,summer,37.45,27.95,0.78,2025-12-21
SL-0167,winter,23.23,9.4,0.41,
SL-0168,monsoon,25.11,190.32,0.99,2025-12-03
SL-0168,summer,36.27,34.79,0.86,2025-12-07
SL-0168,winter,18.61,6.21,0.59,2026-01-17
SL-0169,monsoon,28.26,220.54,0.86,
SL-0169,summer,32.17,39.6,0.82,
SL-0169,winter,24.39,9.05,0.4,
SL-0170,monsoon,25.14,177.93,0.94,2025-12-06
SL-0170,summer,34.73,24.94,0.83,2025-12-23
SL-0170,winter,20.82,15.96,0.49,
SL-0171,monsoon,25.83,203.72,0.86,2025-12-05
SL-0171,summer,36.68,17.9,0.67,2025-12-09
SL-0171,winter,22.54,17.74,0.45,
SL-0172,monsoon,25.95,234.17,0.85,2025-12-14
SL-0172,summer,35.45,24.69,0.73,2026-01-14
SL-0172,winter,22.91,6.19,0.45,
SL-0173,monsoon,27.41,201.35,0.82,2025-12-13
SL-0173,summer,32.68,31.74,0.78,2025-12-06
SL-0173,winter,19.77,13.5,0.4,
