request_id,light_id,reported_at,resolved_at,issue_type
REQ-0064,SL-0662,2025-01-02 13:45:35,2025-01-04 14:45:35,wiring
REQ-0065,SL-1160,2025-01-03 13:45:35,2025-01-06 21:45:35,vandalism
REQ-0066,SL-4275,2025-01-03 13:45:35,2025-01-06 20:45:35,wiring
REQ-0067,SL-1082,2025-01-04 13:45:35,2025-01-07 17:45:35,power_supply
REQ-0068,SL-0551,2025-01-04 13:45:35,2025-01-07 14:45:35,bulb_failure
REQ-0069,SL-4315,2025-01-04 13:45:35,2025-01-08 15:45:35,bulb_failure
REQ-0070,SL-0632,2025-01-04 13:45:35,2025-01-05 21:45:35,wiring
REQ-0071,SL-2139,2025-01-04 13:45:35,2025-01-07 17:45:35,vandalism
REQ-0072,SL-0477,2025-01-05 13:45:35,2025-01-07 14:45:35,power_supply
REQ-0073,SL-3969,2025-01-06 13:45:35,2025-01-09 21:45:35,wiring
REQ-0074,SL-4603,2025-01-06 13:45:35,2025-01-08 21:45:35,wiring
REQ-0075,SL-1244,2025-01-06 13:45:35,2025-01-11 18:45:35,bulb_failure
REQ-0076,SL-2719,2025-01-07 13:45:35,2025-01-09 15:45:35,pole_damage
REQ-0077,SL-3050,2025-01-08 13:45:35,2025-01-12 18:45:35,sensor_failure
REQ-0078,SL-4611,2025-01-08 13:45:35,2025-01-10 20:45:35,bulb_failure
REQ-0079,SL-3013,2025-01-09 13:45:35,2025-01-13 20:45:35,vandalism
REQ-0080,SL-3482,2025-01-09 13:45:35,2025-01-13 15:45:35,sensor_failure
REQ-0081,SL-2714,2025-01-10 13:45:35,2025-01-12 16:45:35,bulb_failure
REQ-0082,SL-2683,2025-01-10 13:45:35,2025-01-11 19:45:35,wiring
REQ-0083,SL-1108,2025-01-11 13:45:35,2025-01-12 20:45:35,wiring
REQ-0084,SL-1932,2025-01-11 13:45:35,2025-01-14 15:45:35,wiring
REQ-0085,SL-1623,2025-01-12 13:45:35,2025-01-14 20:45:35,power_supply
REQ-0086,SL-0110,2025-01-12 13:45:35,2025-01-16 21:45:35,bulb_failure
REQ-0087,SL-3446,2025-01-13 13:45:35,,wiring
REQ-0088,SL-2738,2025-01-13 13:45:35,2025-01-17 19:45:35,wiring
REQ-0089,SL-0405,2025-01-14 13:45:35,2025-01-15 21:45:35,wiring
REQ-0090,SL-2938,2025-01-15 13:45:35,2025-01-20 17:45:35,wiring
REQ-0091,SL-3244,2025-01-16 13:45:35,2025-01-20 16:45:35,wiring
REQ-0092,SL-4351,2025-01-16 13:45:35,2025-01-23 19:45:35,wiring
REQ-0093,SL-4369,2025-01-17 13:45:35,2025-01-18 18:45:35,power_supply
REQ-0094,SL-4274,2025-01-17 13:45:35,2025-01-21 20:45:35,power_supply
REQ-0095,SL-2339,2025-01-18 13:45:35,2025-01-20 19:45:35,pole_damage
REQ-0096,SL-2921,2025-01-18 13:45:35,2025-01-21 18:45:35,wiring
REQ-0097,SL-3065,2025-01-18 13:45:35,2025-01-21 17:45:35,pole_damage
REQ-0098,SL-1437,2025-01-18 13:45:35,2025-01-25 21:45:35,wiring
REQ-0099,SL-3492,2025-01-19 13:45:35,2025-01-22 19:45:35,bulb_failure
REQ-0100,SL-3719,2025-01-19 13:45:35,2025-01-24 19:45:35,wiring
REQ-0101,SL-0401,2025-01-19 13:45:35,2025-01-22 21:45:35,vandalism
REQ-0102,SL-1103,2025-01-21 13:45:35,2025-01-24 20:45:35,bulb_failure
REQ-0103,SL-0513,2025-01-21 13:45:35,2025-01-26 19:45:35,power_supply
REQ-0104,SL-2358,2025-01-22 13:45:35,2025-01-25 21:45:35,wiring
REQ-0105,SL-2565,2025-01-22 13:45:35,2025-01-25 19:45:35,vandalism
REQ-0106,SL-2658,2025-01-22 13:45:35,2025-01-23 20:45:35,vandalism
REQ-0107,SL-2843,2025-01-22 13:45:35,2025-01-24 21:45:35,bulb_failure
REQ-0108,SL-3587,2025-01-23 13:45:35,2025-01-26 20:45:35,pole_damage
REQ-0109,SL-2913,2025-01-23 13:45:35,2025-01-26 16:45:35,wiring
REQ-0110,SL-4932,2025-01-24 13:45:35,2025-01-28 18:45:35,sensor_failure
REQ-0111,SL-2764,2025-01-24 13:45:35,2025-01-27 21:45:35,wiring
REQ-0112,SL-4336,2025-01-25 13:45:35,2025-01-31 17:45:35,wiring
REQ-0113,SL-3190,2025-01-25 13:45:35,2025-01-27 15:45:35,pole_damage
REQ-0114,SL-1800,2025-01-26 13:45:35,,wiring
REQ-0115,SL-3531,2025-01-26 13:45:35,2025-01-29 17:45:35,bulb_failure
REQ-0116,SL-1536,2025-01-26 13:45:35,2025-01-29 18:45:35,power_supply
REQ-0117,SL-3757,2025-01-26 13:45:35,2025-01-28 19:45:35,bulb_failure
REQ-0118,SL-0447,2025-01-27 13:45:35,2025-02-03 16:45:35,sensor_failure
REQ-0119,SL-3118,2025-01-27 13:45:35,2025-01-30 19:45:35,bulb_failure
REQ-0120,SL-3840,2025-01-27 13:45:35,2025-01-29 14:45:35,wiring
REQ-0121,SL-2122,2025-01-28 13:45:35,2025-02-01 14:45:35,sensor_failure
REQ-0122,SL-1451,2025-01-28 13:45:35,2025-01-31 14:45:35,pole_damage
REQ-0123,SL-3877,2025-01-28 13:45:35,2025-02-04 14:45:35,pole_damage
REQ-0124,SL-3977,2025-01-29 13:45:35,2025-01-31 18:45:35,sensor_failure
REQ-0125,SL-4821,2025-01-29 13:45:35,2025-02-05 17:45:35,sensor_failure
REQ-0126,SL-1569,2025-01-29 13:45:35,2025-02-01 21:45:35,pole_damage
REQ-0127,SL-3395,2025-01-30 13:45:35,2025-02-03 20:45:35,wiring
REQ-0128,SL-4687,2025-01-31 13:45:35,2025-02-04 17:45:35,bulb_failure
REQ-0129,SL-4963,2025-01-31 13:45:35,2025-02-03 17:45:35,bulb_failure
REQ-0130,SL-0788,2025-02-01 13:45:35,2025-02-04 19:45:35,wiring
REQ-0131,SL-4215,2025-02-01 13:45:35,2025-02-07 17:45:35,bulb_failure
REQ-0132,SL-3466,2025-02-03 13:45:35,2025-02-05 17:45:35,pole_damage
REQ-0133,SL-0810,2025-02-03 13:45:35,,bulb_failure
REQ-0134,SL-1180,2025-02-03 13:45:35,2025-02-07 16:45:35,wiring
REQ-0135,SL-1839,2025-02-04 13:45:35,2025-02-07 18:45:35,power_supply
REQ-0136,SL-3964,2025-02-04 13:45:35,2025-02-08 20:45:35,wiring
REQ-0137,SL-2731,2025-02-05 13:45:35,2025-02-11 14:45:35,wiring
REQ-0138,SL-3450,2025-02-05 13:45:35,2025-02-07 15:45:35,vandalism
REQ-0139,SL-4846,2025-02-05 13:45:35,2025-02-10 18:45:35,bulb_failure
REQ-0140,SL-3167,2025-02-06 13:45:35,2025-02-09 21:45:35,wiring
REQ-0141,SL-2602,2025-02-07 13:45:35,2025-02-10 15:45:35,bulb_failure
REQ-0142,SL-3941,2025-02-07 13:45:35,2025-02-14 16:45:35,sensor_failure
REQ-0143,SL-3110,2025-02-07 13:45:35,2025-02-10 17:45:35,bulb_failure
REQ-0144,SL-0352,2025-02-07 13:45:35,2025-02-08 21:45:35,pole_damage
REQ-0145,SL-4745,2025-02-07 13:45:35,,vandalism
REQ-0146,SL-2837,2025-02-08 13:45:35,2025-02-11 20:45:35,vandalism
REQ-0147,SL-4435,2025-02-08 13:45:35,2025-02-11 18:45:35,bulb_failure
REQ-0148,SL-4402,2025-02-09 13:45:35,2025-02-13 20:45:35,wiring
REQ-0149,SL-2722,2025-02-09 13:45:35,2025-02-12 19:45:35,pole_damage
REQ-0150,SL-1995,2025-02-10 13:45:35,2025-02-17 18:45:35,bulb_failure
REQ-0151,SL-3193,2025-02-10 13:45:35,2025-02-13 21:45:35,vandalism
REQ-0152,SL-1760,2025-02-10 13:45:35,2025-02-12 17:45:35,wiring
REQ-0153,SL-3695,2025-02-10 13:45:35,2025-02-14 15:45:35,sensor_failure
REQ-0154,SL-3019,2025-02-10 13:45:35,2025-02-12 21:45:35,vandalism
REQ-0155,SL-1139,2025-02-11 13:45:35,,pole_damage
REQ-0156,SL-2682,2025-02-11 13:45:35,2025-02-13 17:45:35,bulb_failure
REQ-0157,SL-1215,2025-02-11 13:45:35,,bulb_failure
REQ-0158,SL-2084,2025-02-12 13:45:35,2025-02-15 18:45:35,bulb_failure
REQ-0159,SL-2816,2025-02-13 13:45:35,2025-02-14 16:45:35,bulb_failure
REQ-0160,SL-2085,2025-02-13 13:45:35,2025-02-15 14:45:35,bulb_failure
REQ-0161,SL-4805,2025-02-14 13:45:35,2025-02-18 14:45:35,bulb_failure
REQ-0162,SL-4512,2025-02-15 13:45:35,2025-02-22 15:45:35,bulb_failure
REQ-0163,SL-4651,2025-02-15 13:45:35,2025-02-20 17:45:35,sensor_failure
REQ-0164,SL-3464,2025-02-15 13:45:35,2025-02-17 20:45:35,wiring
REQ-0165,SL-4336,2025-02-16 13:45:35,2025-02-17 16:45:35,bulb_failure
REQ-0166,SL-4662,2025-02-16 13:45:35,2025-02-22 19:45:35,vandalism
REQ-0167,SL-3837,2025-02-16 13:45:35,2025-02-19 14:45:35,vandalism
REQ-0168,SL-4802,2025-02-17 13:45:35,2025-02-21 16:45:35,bulb_failure
REQ-0169,SL-0607,2025-02-17 13:45:35,2025-02-19 21:45:35,bulb_failure
REQ-0170,SL-3672,2025-02-17 13:45:35,2025-02-19 17:45:35,bulb_failure
REQ-0171,SL-1580,2025-02-18 13:45:35,2025-02-25 15:45:35,bulb_failure
REQ-0172,SL-1458,2025-02-19 13:45:35,2025-02-20 16:45:35,sensor_failure
REQ-0173,SL-0655,2025-02-20 13:45:35,2025-02-21 17:45:35,wiring
REQ-0174,SL-0919,2025-02-20 13:45:35,2025-02-23 15:45:35,bulb_failure
REQ-0175,SL-1401,2025-02-20 13:45:35,2025-02-21 14:45:35,pole_damage
REQ-0176,SL-4368,2025-02-21 13:45:35,2025-02-23 15:45:35,bulb_failure
REQ-0177,SL-2859,2025-02-21 13:45:35,2025-02-23 14:45:35,vandalism
REQ-0178,SL-0752,2025-02-21 13:45:35,2025-02-24 17:45:35,wiring
REQ-0179,SL-3067,2025-02-23 13:45:35,2025-02-26 20:45:35,bulb_failure
REQ-0180,SL-0117,2025-02-23 13:45:35,2025-02-27 18:45:35,bulb_failure
REQ-0181,SL-2254,2025-02-24 13:45:35,2025-02-27 20:45:35,sensor_failure
REQ-0182,SL-0858,2025-02-24 13:45:35,2025-02-28 14:45:35,vandalism
REQ-0183,SL-0602,2025-02-25 13:45:35,2025-02-26 21:45:35,pole_damage
REQ-0184,SL-1806,2025-02-25 13:45:35,2025-02-27 20:45:35,power_supply
REQ-0185,SL-1685,2025-02-27 13:45:35,,wiring
REQ-0186,SL-3103,2025-02-27 13:45:35,2025-03-05 17:45:35,bulb_failure
REQ-0187,SL-2296,2025-02-28 13:45:35,2025-03-03 15:45:35,bulb_failure
REQ-0188,SL-3697,2025-02-28 13:45:35,2025-03-04 14:45:35,power_supply
REQ-0189,SL-0306,2025-02-28 13:45:35,2025-03-03 19:45:35,vandalism
REQ-0190,SL-0239,2025-03-01 13:45:35,2025-03-05 20:45:35,bulb_failure
REQ-0191,SL-4745,2025-03-01 13:45:35,2025-03-04 16:45:35,vandalism
REQ-0192,SL-0386,2025-03-01 13:45:35,2025-03-06 17:45:35,wiring
REQ-0193,SL-3765,2025-03-01 13:45:35,2025-03-04 21:45:35,sensor_failure
REQ-0194,SL-1944,2025-03-01 13:45:35,2025-03-08 20:45:35,bulb_failure
REQ-0195,SL-2523,2025-03-02 13:45:35,2025-03-05 20:45:35,wiring
REQ-0196,SL-0375,2025-03-02 13:45:35,2025-03-05 18:45:35,bulb_failure
REQ-0197,SL-3035,2025-03-02 13:45:35,2025-03-06 15:45:35,bulb_failure
REQ-0198,SL-2270,2025-03-02 13:45:35,2025-03-05 21:45:35,wiring
REQ-0199,SL-4428,2025-03-02 13:45:35,2025-03-06 19:45:35,vandalism
REQ-0200,SL-4075,2025-03-03 13:45:35,2025-03-05 18:45:35,bulb_failure
REQ-0201,SL-4450,2025-03-03 13:45:35,2025-03-08 14:45:35,vandalism
REQ-0202,SL-1286,2025-03-03 13:45:35,2025-03-05 19:45:35,power_supply
REQ-0203,SL-2182,2025-03-04 13:45:35,,bulb_failure
REQ-0204,SL-0981,2025-03-04 13:45:35,2025-03-07 14:45:35,vandalism
REQ-0205,SL-1315,2025-03-04 13:45:35,2025-03-06 14:45:35,power_supply
REQ-0206,SL-4001,2025-03-05 13:45:35,2025-03-06 17:45:35,bulb_failure
REQ-0207,SL-2791,2025-03-05 13:45:35,2025-03-07 21:45:35,pole_damage
REQ-0208,SL-4022,2025-03-05 13:45:35,2025-03-06 17:45:35,bulb_failure
REQ-0209,SL-1639,2025-03-05 13:45:35,2025-03-11 14:45:35,pole_damage
REQ-0210,SL-2367,2025-03-05 13:45:35,2025-03-08 16:45:35,power_supply
REQ-0211,SL-4513,2025-03-06 13:45:35,2025-03-08 15:45:35,bulb_failure
REQ-0212,SL-4621,2025-03-07 13:45:35,2025-03-09 21:45:35,bulb_failure
REQ-0213,SL-1239,2025-03-07 13:45:35,2025-03-10 16:45:35,pole_damage
REQ-0214,SL-4557,2025-03-07 13:45:35,2025-03-10 19:45:35,sensor_failure
REQ-0215,SL-2772,2025-03-07 13:45:35,2025-03-11 17:45:35,power_supply
REQ-0216,SL-2756,2025-03-08 13:45:35,2025-03-11 17:45:35,wiring
REQ-0217,SL-0798,2025-03-09 13:45:35,2025-03-16 16:45:35,wiring
REQ-0218,SL-4193,2025-03-09 13:45:35,2025-03-14 21:45:35,bulb_failure
REQ-0219,SL-1676,2025-03-09 13:45:35,2025-03-13 19:45:35,sensor_failure
REQ-0220,SL-2729,2025-03-09 13:45:35,2025-03-12 20:45:35,bulb_failure
REQ-0221,SL-4136,2025-03-09 13:45:35,2025-03-13 21:45:35,sensor_failure
REQ-0222,SL-2493,2025-03-09 13:45:35,2025-03-13 14:45:35,wiring
REQ-0223,SL-0658,2025-03-09 13:45:35,2025-03-10 16:45:35,pole_damage
REQ-0224,SL-2401,2025-03-10 13:45:35,2025-03-14 21:45:35,vandalism
REQ-0225,SL-3242,2025-03-10 13:45:35,2025-03-11 14:45:35,pole_damage
REQ-0226,SL-0963,2025-03-11 13:45:35,2025-03-14 14:45:35,wiring
REQ-0227,SL-4124,2025-03-11 13:45:35,2025-03-15 21:45:35,vandalism
REQ-0228,SL-0941,2025-03-11 13:45:35,2025-03-13 15:45:35,bulb_failure
REQ-0229,SL-2424,2025-03-11 13:45:35,2025-03-12 16:45:35,sensor_failure
REQ-0230,SL-4108,2025-03-12 13:45:35,2025-03-14 18:45:35,wiring
REQ-0231,SL-4711,2025-03-12 13:45:35,2025-03-14 19:45:35,vandalism
REQ-0232,SL-0215,2025-03-13 13:45:35,2025-03-17 21:45:35,bulb_failure
REQ-0233,SL-4749,2025-03-13 13:45:35,2025-03-14 20:45:35,bulb_failure
REQ-0234,SL-0514,2025-03-14 13:45:35,2025-03-17 21:45:35,sensor_failure
REQ-0235,SL-2538,2025-03-14 13:45:35,2025-03-18 17:45:35,pole_damage
REQ-0236,SL-3073,2025-03-14 13:45:35,2025-03-16 15:45:35,wiring
REQ-0237,SL-0263,2025-03-15 13:45:35,2025-03-18 16:45:35,pole_damage
REQ-0238,SL-3928,2025-03-15 13:45:35,2025-03-19 15:45:35,wiring
REQ-0239,SL-3898,2025-03-15 13:45:35,2025-03-17 20:45:35,power_supply
REQ-0240,SL-4461,2025-03-15 13:45:35,2025-03-21 21:45:35,power_supply
REQ-0241,SL-4677,2025-03-15 13:45:35,,wiring
REQ-0242,SL-3737,2025-03-16 13:45:35,,wiring
REQ-0243,SL-1607,2025-03-16 13:45:35,2025-03-20 20:45:35,pole_damage
REQ-0244,SL-0864,2025-03-16 13:45:35,2025-03-19 21:45:35,bulb_failure
REQ-0245,SL-1184,2025-03-16 13:45:35,2025-03-18 19:45:35,bulb_failure
REQ-0246,SL-0075,2025-03-17 13:45:35,,pole_damage
REQ-0247,SL-4790,2025-03-17 13:45:35,2025-03-20 14:45:35,power_supply
REQ-0248,SL-2889,2025-03-18 13:45:35,2025-03-19 21:45:35,power_supply
REQ-0249,SL-4181,2025-03-18 13:45:35,2025-03-25 16:45:35,vandalism
REQ-0250,SL-2350,2025-03-18 13:45:35,2025-03-23 18:45:35,pole_damage
REQ-0251,SL-4442,2025-03-18 13:45:35,2025-03-21 14:45:35,vandalism
REQ-0252,SL-0036,2025-03-18 13:45:35,2025-03-21 14:45:35,bulb_failure
REQ-0253,SL-2188,2025-03-19 13:45:35,2025-03-24 21:45:35,bulb_failure
REQ-0254,SL-2009,2025-03-19 13:45:35,2025-03-22 17:45:35,sensor_failure
REQ-0255,SL-0808,2025-03-19 13:45:35,2025-03-22 15:45:35,pole_damage
REQ-0256,SL-1867,2025-03-19 13:45:35,2025-03-22 21:45:35,power_supply
REQ-0257,SL-2638,2025-03-20 13:45:35,2025-03-23 21:45:35,pole_damage
REQ-0258,SL-0957,2025-03-20 13:45:35,2025-03-22 16:45:35,power_supply
REQ-0259,SL-3312,2025-03-20 13:45:35,2025-03-23 19:45:35,power_supply
REQ-0260,SL-4605,2025-03-21 13:45:35,2025-03-24 20:45:35,vandalism
REQ-0261,SL-1914,2025-03-21 13:45:35,2025-03-25 19:45:35,power_supply
REQ-0262,SL-3326,2025-03-21 13:45:35,,pole_damage
REQ-0263,SL-0860,2025-03-21 13:45:35,,bulb_failure
REQ-0264,SL-1618,2025-03-21 13:45:35,2025-03-24 17:45:35,vandalism
REQ-0265,SL-0858,2025-03-21 13:45:35,2025-03-23 19:45:35,power_supply
REQ-0266,SL-0013,2025-03-21 13:45:35,2025-03-26 20:45:35,wiring
REQ-0267,SL-3925,2025-03-21 13:45:35,2025-03-24 14:45:35,bulb_failure
REQ-0268,SL-2129,2025-03-21 13:45:35,2025-03-25 21:45:35,sensor_failure
REQ-0269,SL-1775,2025-03-21 13:45:35,2025-03-23 17:45:35,bulb_failure
REQ-0270,SL-4926,2025-03-22 13:45:35,2025-03-25 20:45:35,sensor_failure
REQ-0271,SL-1044,2025-03-22 13:45:35,2025-03-27 21:45:35,pole_damage
REQ-0272,SL-0797,2025-03-22 13:45:35,,sensor_failure
REQ-0273,SL-3615,2025-03-22 13:45:35,2025-03-23 15:45:35,bulb_failure
REQ-0274,SL-3230,2025-03-22 13:45:35,2025-03-25 19:45:35,bulb_failure
REQ-0275,SL-4140,2025-03-23 13:45:35,2025-03-30 16:45:35,wiring
REQ-0276,SL-0844,2025-03-23 13:45:35,2025-03-25 20:45:35,bulb_failure
REQ-0277,SL-0803,2025-03-23 13:45:35,2025-03-26 21:45:35,vandalism
REQ-0278,SL-1509,2025-03-23 13:45:35,2025-03-24 19:45:35,power_supply
REQ-0279,SL-0517,2025-03-24 13:45:35,2025-03-26 20:45:35,bulb_failure
REQ-0280,SL-3394,2025-03-24 13:45:35,2025-03-25 21:45:35,bulb_failure
REQ-0281,SL-1651,2025-03-24 13:45:35,2025-03-31 20:45:35,bulb_failure
REQ-0282,SL-3589,2025-03-25 13:45:35,2025-03-27 17:45:35,wiring
REQ-0283,SL-4889,2025-03-25 13:45:35,2025-03-30 14:45:35,wiring
REQ-0284,SL-2473,2025-03-25 13:45:35,2025-03-27 14:45:35,bulb_failure
REQ-0285,SL-4134,2025-03-26 13:45:35,2025-03-30 21:45:35,wiring
REQ-0286,SL-4431,2025-03-26 13:45:35,2025-03-28 19:45:35,bulb_failure
REQ-0287,SL-1521,2025-03-26 13:45:35,,bulb_failure
REQ-0288,SL-1670,2025-03-26 13:45:35,2025-03-29 19:45:35,vandalism
REQ-0289,SL-1399,2025-03-26 13:45:35,2025-04-02 14:45:35,wiring
REQ-0290,SL-4370,2025-03-26 13:45:35,2025-03-31 15:45:35,bulb_failure
REQ-0291,SL-1538,2025-03-27 13:45:35,2025-04-03 16:45:35,pole_damage
REQ-0292,SL-0802,2025-03-27 13:45:35,2025-03-31 19:45:35,wiring
REQ-0293,SL-1308,2025-03-27 13:45:35,2025-03-29 17:45:35,bulb_failure
REQ-0294,SL-3115,2025-03-27 13:45:35,2025-03-29 14:45:35,wiring
REQ-0295,SL-3457,2025-03-28 13:45:35,2025-03-31 17:45:35,bulb_failure
REQ-0296,SL-2543,2025-03-28 13:45:35,2025-03-30 20:45:35,vandalism
REQ-0297,SL-0162,2025-03-29 13:45:35,2025-04-03 18:45:35,pole_damage
REQ-0298,SL-3203,2025-03-29 13:45:35,2025-04-01 18:45:35,wiring
REQ-0299,SL-3257,2025-03-30 13:45:35,2025-04-04 17:45:35,bulb_failure
REQ-0300,SL-0633,2025-03-30 13:45:35,2025-04-04 20:45:35,sensor_failure
REQ-0301,SL-4809,2025-03-30 13:45:35,2025-04-03 18:45:35,wiring
REQ-0302,SL-3671,2025-03-30 13:45:35,2025-04-03 15:45:35,bulb_failure
REQ-0303,SL-0757,2025-03-30 13:45:35,2025-04-02 16:45:35,pole_damage
REQ-0304,SL-4621,2025-03-30 13:45:35,2025-04-06 19:45:35,power_supply
REQ-0305,SL-0297,2025-03-30 13:45:35,2025-04-01 20:45:35,vandalism
REQ-0306,SL-3427,2025-03-30 13:45:35,2025-04-05 19:45:35,bulb_failure
REQ-0307,SL-0226,2025-03-31 13:45:35,2025-04-03 21:45:35,pole_damage
REQ-0308,SL-4023,2025-03-31 13:45:35,2025-04-02 16:45:35,wiring
REQ-0309,SL-0015,2025-03-31 13:45:35,2025-04-02 19:45:35,vandalism
REQ-0310,SL-1524,2025-03-31 13:45:35,2025-04-02 17:45:35,wiring
REQ-0311,SL-4108,2025-04-01 13:45:35,2025-04-02 21:45:35,sensor_failure
REQ-0312,SL-3133,2025-04-02 13:45:35,2025-04-04 19:45:35,bulb_failure
REQ-0313,SL-2940,2025-04-02 13:45:35,2025-04-04 21:45:35,power_supply
REQ-0314,SL-4192,2025-04-02 13:45:35,2025-04-06 17:45:35,wiring
REQ-0315,SL-0354,2025-04-02 13:45:35,2025-04-09 18:45:35,vandalism
REQ-0316,SL-3020,2025-04-02 13:45:35,2025-04-05 15:45:35,bulb_failure
